X,Y,Z
-4.095536414,1.87238619,-0.755120467
-4.095551391,1.872384194,-0.758355911
-4.09556773,1.872382016,-0.761885487
-4.095582708,1.872380019,-0.765120932
-4.095597685,1.872378023,-0.768356376
-4.095612663,1.872376026,-0.771591821
-4.09562764,1.87237403,-0.774827265
-4.095643979,1.872371852,-0.778356841
-4.095658957,1.872369856,-0.781592286
-4.095673934,1.872367859,-0.784827731
-4.095688912,1.872365863,-0.788063175
-4.095705251,1.872363685,-0.791592751
-4.095720228,1.872361688,-0.794828196
-4.095735206,1.872359692,-0.79806364
-4.095750183,1.872357696,-0.801299085
-4.095765161,1.872355699,-0.804534529
-4.0957815,1.872353521,-0.808064105
-4.095796477,1.872351525,-0.81129955
-4.095811455,1.872349528,-0.814534995
-4.095826432,1.872347532,-0.817770439
-4.095842772,1.872345354,-0.821300015
-4.095857749,1.872343358,-0.82453546
-4.095872726,1.872341361,-0.827770904
-4.095887704,1.872339365,-0.831006349
-4.095902681,1.872337368,-0.834241793
-4.095919021,1.872335191,-0.837771369
-4.095933998,1.872333194,-0.841006814
-4.095948976,1.872331198,-0.844242259
-4.095963953,1.872329201,-0.847477703
-4.095980292,1.872327023,-0.851007279
-4.09599527,1.872325027,-0.854242724
-4.096010247,1.87232303,-0.857478168
-4.096025225,1.872321034,-0.860713613
-4.096040202,1.872319038,-0.863949058
-4.096056541,1.87231686,-0.867478633
-4.096071519,1.872314863,-0.870714078
-4.096086496,1.872312867,-0.873949523
-4.096101474,1.87231087,-0.877184967
-4.096116451,1.872308874,-0.880420412
-4.09613279,1.872306696,-0.883949988
-4.096147768,1.8723047,-0.887185432
-4.096162745,1.872302703,-0.890420877
-4.096177723,1.872300707,-0.893656322
-4.096194062,1.872298529,-0.897185897
-4.096209039,1.872296533,-0.900421342
-4.096224017,1.872294536,-0.903656787
-4.096238994,1.87229254,-0.906892231
-4.096253972,1.872290543,-0.910127676
-4.096270311,1.872288365,-0.913657252
-4.096285288,1.872286369,-0.916892696
-4.096300266,1.872284372,-0.920128141
-4.096315243,1.872282376,-0.923363586
-4.096331582,1.872280198,-0.926893161
-4.09634656,1.872278202,-0.930128606
-4.096361537,1.872276205,-0.933364051
-4.096376515,1.872274209,-0.936599495
-4.096391492,1.872272212,-0.93983494
-4.096407831,1.872270035,-0.943364516
-4.096422809,1.872268038,-0.94659996
-4.096437786,1.872266042,-0.949835405
-4.096452764,1.872264045,-0.95307085
-4.096469103,1.872261867,-0.956600426
-4.09648408,1.872259871,-0.95983587
-4.096499058,1.872257874,-0.963071315
-4.096514035,1.872255878,-0.966306759
-4.096529013,1.872253882,-0.969542204
-4.096545352,1.872251704,-0.97307178
-4.096560329,1.872249707,-0.976307224
-4.096575307,1.872247711,-0.979542669
-4.096590284,1.872245714,-0.982778114
-4.096606624,1.872243537,-0.98630769
-4.096621601,1.87224154,-0.989543134
-4.096636578,1.872239544,-0.992778579
-4.096651556,1.872237547,-0.996014023
-4.096666533,1.872235551,-0.999249468
-4.096682873,1.872233373,-1.002779044
-4.09669785,1.872231377,-1.006014488
-4.096712828,1.87222938,-1.009249933
-4.096727805,1.872227384,-1.012485378
-4.096744144,1.872225206,-1.016014954
-4.096759122,1.872223209,-1.019250398
-4.096774099,1.872221213,-1.022485843
-4.096789077,1.872219216,-1.025721287
-4.096804054,1.87221722,-1.028956732
-4.096820393,1.872215042,-1.032486308
-4.096835371,1.872213046,-1.035721752
-4.096850348,1.872211049,-1.038957197
-4.096865326,1.872209053,-1.042192642
-4.096881665,1.872206875,-1.045722218
-4.096896642,1.872204879,-1.048957662
-4.09691162,1.872202882,-1.052193107
-4.096926597,1.872200886,-1.055428551
-4.096941575,1.872198889,-1.058663996
-4.096957914,1.872196711,-1.062193572
-4.096972891,1.872194715,-1.065429017
-4.096987869,1.872192719,-1.068664461
-4.097002846,1.872190722,-1.071899906
-4.097017824,1.872188726,-1.07513535
-4.097034163,1.872186548,-1.078664926
-4.09704914,1.872184551,-1.081900371
-4.097064118,1.872182555,-1.085135815
-4.097079095,1.872180558,-1.08837126
-4.097095434,1.872178381,-1.091900836
-4.097110412,1.872176384,-1.095136281
-4.097125389,1.872174388,-1.098371725
-4.097140367,1.872172391,-1.10160717
-4.097155344,1.872170395,-1.104842614
-4.097171683,1.872168217,-1.10837219
-4.097186661,1.872166221,-1.111607635
-4.097201638,1.872164224,-1.114843079
-4.097216616,1.872162228,-1.118078524
-4.097232955,1.87216005,-1.1216081
-4.097247932,1.872158053,-1.124843545
-4.09726291,1.872156057,-1.128078989
-4.097277887,1.872154061,-1.131314434
-4.097292865,1.872152064,-1.134549878
-4.097309204,1.872149886,-1.138079454
-4.097324181,1.87214789,-1.141314899
-4.097339159,1.872145893,-1.144550343
-4.097354136,1.872143897,-1.147785788
-4.097370475,1.872141719,-1.151315364
-4.097385453,1.872139723,-1.154550809
-4.09740043,1.872137726,-1.157786253
-4.097415408,1.87213573,-1.161021698
