Format Version,1.22,Take Name,ReferenceReflector8_3,Capture Frame Rate,360,Export Frame Rate,360,Capture Start Time,2018-08-03 08.34.32.725 AM,Total Frames in Take,5545,Total Exported Frames,5545,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.011111,-0.176806,0.106569,-0.061968,0.976495,2.920703,0.090312,-1.116595,0,3.003297,0.090645,-0.997922,0.800248,2.835899,0.11542,-1.108348,0.778648,2.929166,0.08485,-1.125816,0.827367,2.914451,0.070333,-1.234291,0.751421,3.003297,0.090645,-0.997922,2.835899,0.11542,-1.108348,2.929166,0.08485,-1.125816,2.914451,0.070333,-1.234291,-1.185449,0.001811,-11.891855,-1.377774,-0.000174,-12.130591,2.921462,0.092209,-1.128096,-1.496479,0.009842,-11.886366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.013889,-0.176598,0.106485,-0.062098,0.976534,2.920663,0.090241,-1.116589,0,3.003228,0.090507,-0.997897,0.800248,2.835863,0.115369,-1.108355,0.778648,2.929127,0.08478,-1.125811,0.827367,2.914434,0.070309,-1.234295,0.751421,3.003228,0.090507,-0.997897,2.835863,0.115369,-1.108355,2.929127,0.08478,-1.125811,2.914434,0.070309,-1.234295,-1.186069,0.001832,-11.890552,-1.373491,0.005022,-12.132811,2.921456,0.092236,-1.128132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.016667,-0.177064,0.106726,-0.062509,0.976397,2.920714,0.090256,-1.11658,0,3.003328,0.090576,-0.997922,0.800248,2.835938,0.11546,-1.108336,0.778648,2.929169,0.084779,-1.1258,0.827367,2.914421,0.070209,-1.234263,0.751421,3.003328,0.090576,-0.997922,2.835938,0.11546,-1.108336,2.929169,0.084779,-1.1258,2.914421,0.070209,-1.234263,-1.186358,0.001866,-11.890835,-1.377159,0.00293,-12.133344,2.921544,0.092219,-1.12817,-1.496455,0.009866,-11.886364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.019444,-0.178581,0.107627,-0.06435,0.975902,2.920537,0.090063,-1.116554,0,3.003319,0.090486,-0.998013,0.800248,2.835865,0.115605,-1.108278,0.778648,2.92896,0.084524,-1.125767,0.827367,2.914005,0.069637,-1.234158,0.751421,3.003319,0.090486,-0.998013,2.835865,0.115605,-1.108278,2.92896,0.084524,-1.125767,2.914005,0.069637,-1.234158,-1.186054,0.001871,-11.89051,-1.373421,0.005116,-12.132749,2.921498,0.092222,-1.128087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.022222,-0.178224,0.107344,-0.062871,0.976095,2.920588,0.090088,-1.11656,0,3.003356,0.09063,-0.99801,0.800248,2.835841,0.115373,-1.108267,0.778648,2.929028,0.084583,-1.125778,0.827367,2.914129,0.069767,-1.234187,0.751421,3.003356,0.09063,-0.99801,2.835841,0.115373,-1.108267,2.929028,0.084583,-1.125778,2.914129,0.069767,-1.234187,-1.186376,0.001883,-11.890809,-1.37715,0.002936,-12.133353,2.921445,0.092361,-1.128116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.025,-0.176718,0.10655,-0.061928,0.976516,2.920643,0.090144,-1.116572,0,3.003232,0.090461,-0.997896,0.800248,2.835837,0.115245,-1.108324,0.778648,2.929106,0.084684,-1.125794,0.827367,2.914397,0.070186,-1.234272,0.751421,3.003232,0.090461,-0.997896,2.835837,0.115245,-1.108324,2.929106,0.084684,-1.125794,2.914397,0.070186,-1.234272,-1.186952,0.001323,-11.89087,-1.373399,0.005176,-12.132766,2.921509,0.092215,-1.128155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.027778,-0.180498,0.10989,-0.066869,0.975127,2.920475,0.089428,-1.116724,0,3.003724,0.089907,-0.998511,0.800248,2.835976,0.115463,-1.108225,0.778648,2.928831,0.083804,-1.125946,0.827367,2.913369,0.068537,-1.234214,0.751421,3.003724,0.089907,-0.998511,2.835976,0.115463,-1.108225,2.928831,0.083804,-1.125946,2.913369,0.068537,-1.234214,-1.186301,0.001736,-11.890841,-1.377152,0.002857,-12.133337,2.921461,0.092297,-1.128122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.030556,-0.177528,0.107218,-0.063596,0.976188,2.920436,0.090051,-1.1166,0,3.003131,0.090324,-0.997999,0.800248,2.835722,0.115453,-1.108328,0.778648,2.928873,0.084545,-1.12582,0.827367,2.914018,0.069883,-1.234255,0.751421,3.003131,0.090324,-0.997999,2.835722,0.115453,-1.108328,2.928873,0.084545,-1.12582,2.914018,0.069883,-1.234255,-1.186017,0.00177,-11.890541,-1.37342,0.005152,-12.132816,2.921471,0.092143,-1.128065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.033333,-0.177677,0.107256,-0.063303,0.976176,2.920491,0.090129,-1.116585,0,3.00321,0.090477,-0.998,0.800248,2.835764,0.115483,-1.108301,0.778648,2.92893,0.084625,-1.125804,0.827367,2.914062,0.06993,-1.234234,0.751421,3.00321,0.090477,-0.998,2.835764,0.115483,-1.108301,2.92893,0.084625,-1.125804,2.914062,0.06993,-1.234234,-1.193263,0.013935,-11.896014,-1.373436,0.003333,-12.132671,2.921447,0.092039,-1.128139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.036111,-0.176601,0.108558,-0.063764,0.976198,2.920585,0.089664,-1.116591,0,3.003569,0.089623,-0.998191,0.800248,2.835917,0.115135,-1.108062,0.778648,2.928994,0.084167,-1.125841,0.827367,2.913861,0.069732,-1.234269,0.751421,3.003569,0.089623,-0.998191,2.835917,0.115135,-1.108062,2.928994,0.084167,-1.125841,2.913861,0.069732,-1.234269,-1.186029,0.001672,-11.890546,-1.373404,0.005133,-12.132757,2.921394,0.09206,-1.128131,-1.496339,0.009857,-11.88635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
