Format Version,1.22,Take Name,day 2 back left triangle,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-07-20 09.09.12.297 AM,Total Frames in Take,1333,Total Exported Frames,1333,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.016667,-0.014638,0.312390,-0.088830,-0.945678,2.439857,0.167935,-2.168160,0.000000,2.424846,0.163648,-2.163984,0.569797,2.444965,0.172510,-2.314124,0.403972,2.514229,0.175102,-2.125791,0.630284,2.375388,0.160479,-2.068740,0.560290,2.424846,0.163648,-2.163984,2.444965,0.172510,-2.314124,2.514229,0.175102,-2.125791,2.375388,0.160479,-2.068740,,,,2.427727,0.185055,-2.175601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.019444,-0.013504,0.313672,-0.092462,-0.944923,2.439652,0.168174,-2.167978,0.000000,2.424655,0.163811,-2.163832,0.866900,2.445201,0.172175,-2.313943,0.719200,2.513841,0.175983,-2.125402,0.868019,2.374912,0.160728,-2.068734,0.802562,2.424655,0.163811,-2.163832,2.445201,0.172175,-2.313943,2.513841,0.175983,-2.125402,2.374912,0.160728,-2.068734,2.518216,0.190881,-2.137365,2.427695,0.185020,-2.175594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.022222,-0.013915,0.312682,-0.089168,-0.945561,2.439966,0.167939,-2.168287,0.000000,2.424953,0.163656,-2.164116,0.866900,2.445185,0.172293,-2.314255,0.719200,2.514304,0.175186,-2.125873,0.868019,2.375423,0.160622,-2.068906,0.802562,2.424953,0.163656,-2.164116,2.445185,0.172293,-2.314255,2.514304,0.175186,-2.125873,2.375423,0.160622,-2.068906,2.518203,0.190924,-2.137342,2.427690,0.185098,-2.175610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.025000,-0.013578,0.312563,-0.088691,-0.945650,2.439933,0.168061,-2.168243,0.000000,2.424916,0.163796,-2.164067,0.866900,2.445122,0.172356,-2.314213,0.719200,2.514289,0.175239,-2.125848,0.868019,2.375404,0.160852,-2.068843,0.802562,2.424916,0.163796,-2.164067,2.445122,0.172356,-2.314213,2.514289,0.175239,-2.125848,2.375404,0.160852,-2.068843,2.518180,0.190886,-2.137351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.027778,-0.012985,0.312508,-0.085758,-0.945947,2.439838,0.167964,-2.168527,0.000000,2.424797,0.163786,-2.164350,0.575756,2.445014,0.172329,-2.314495,0.491874,2.514247,0.174669,-2.126147,0.819035,2.375294,0.161072,-2.069115,0.654513,2.424797,0.163786,-2.164350,2.445014,0.172329,-2.314495,2.514247,0.174669,-2.126147,2.375294,0.161072,-2.069115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.030556,-0.014328,0.312148,-0.091207,-0.945537,2.439727,0.168219,-2.168512,0.000000,2.424736,0.163877,-2.164323,0.575756,2.444780,0.172508,-2.314487,0.491874,2.514077,0.175798,-2.126177,0.819035,2.375314,0.160694,-2.069061,0.654513,2.424736,0.163877,-2.164323,2.444780,0.172508,-2.314487,2.514077,0.175798,-2.126177,2.375314,0.160694,-2.069061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.033333,-0.013362,0.313396,-0.091779,-0.945082,2.439825,0.168270,-2.168123,0.000000,2.424824,0.163928,-2.163969,0.525169,2.445290,0.172279,-2.314091,0.520937,2.514051,0.175970,-2.125592,0.810992,2.375135,0.160904,-2.068841,0.669233,2.424824,0.163928,-2.163969,2.445290,0.172279,-2.314091,2.514051,0.175970,-2.125592,2.375135,0.160904,-2.068841,2.518184,0.190965,-2.137393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.036111,-0.014885,0.311925,-0.088239,-0.945883,2.439778,0.168191,-2.168260,0.000000,2.424767,0.163916,-2.164072,0.525169,2.444734,0.172870,-2.314226,0.520937,2.514202,0.175253,-2.125965,0.810992,2.375407,0.160724,-2.068777,0.669233,2.424767,0.163916,-2.164072,2.444734,0.172870,-2.314226,2.514202,0.175253,-2.125965,2.375407,0.160724,-2.068777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.038889,-0.013799,0.312540,-0.089165,-0.945610,2.439959,0.168010,-2.168338,0.000000,2.424947,0.163729,-2.164162,0.525169,2.445137,0.172328,-2.314307,0.520937,2.514309,0.175261,-2.125945,0.810992,2.375443,0.160723,-2.068936,0.669233,2.424947,0.163729,-2.164162,2.445137,0.172328,-2.314307,2.514309,0.175261,-2.125945,2.375443,0.160723,-2.068936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.041667,-0.014291,0.312339,-0.088547,-0.945727,2.439893,0.168098,-2.168273,0.000000,2.424880,0.163825,-2.164094,0.815263,2.444994,0.172598,-2.314240,0.597573,2.514274,0.175230,-2.125914,0.587620,2.375426,0.160741,-2.068845,0.660140,2.424880,0.163825,-2.164094,2.444994,0.172598,-2.314240,2.514274,0.175230,-2.125914,2.375426,0.160741,-2.068845,,,,2.427737,0.185185,-2.175630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.044444,-0.015291,0.312097,-0.089380,-0.945713,2.439871,0.167920,-2.168194,0.000000,2.424869,0.163609,-2.164011,0.815263,2.444874,0.172625,-2.314157,0.597573,2.514261,0.175160,-2.125869,0.587620,2.375480,0.160288,-2.068737,0.660140,2.424869,0.163609,-2.164011,2.444874,0.172625,-2.314157,2.514261,0.175160,-2.125869,2.375480,0.160288,-2.068737,,,,2.427708,0.185093,-2.175584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.047222,-0.013813,0.312187,-0.087552,-0.945877,2.439779,0.168101,-2.168329,0.000000,2.424757,0.163863,-2.164144,0.833642,2.444842,0.172544,-2.314299,0.625450,2.514189,0.175082,-2.125996,0.586587,2.375328,0.160916,-2.068878,0.664645,2.424757,0.163863,-2.164144,2.444842,0.172544,-2.314299,2.514189,0.175082,-2.125996,2.375328,0.160916,-2.068878,,,,2.427716,0.185180,-2.175620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.050000,-0.013967,0.312654,-0.089226,-0.945564,2.439848,0.167887,-2.168278,0.000000,2.424836,0.163601,-2.164106,0.825134,2.445057,0.172249,-2.314245,0.606601,2.514188,0.175141,-2.125867,0.573909,2.375312,0.160555,-2.068892,0.667173,2.424836,0.163601,-2.164106,2.445057,0.172249,-2.314245,2.514188,0.175141,-2.125867,2.375312,0.160555,-2.068892,,,,2.427682,0.185146,-2.175620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
