Format Version,1.22,Take Name,UASSAR4_rail_diagonal,Capture Frame Rate,360,Export Frame Rate,360,Capture Start Time,2018-07-20 09.54.20.680 AM,Total Frames in Take,7404,Total Exported Frames,7404,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.011111,0.036056,0.200332,0.074494,-0.976226,-3.821923,1.868006,0.752213,0,-3.730369,1.86398,0.825647,0.927396,-3.656908,1.85918,0.759548,0.93617,-3.725537,1.864702,0.690013,0.92367,-3.999285,1.876241,0.811615,0.945421,-3.997519,1.87593,0.674241,0.939363,-3.730369,1.86398,0.825647,-3.656908,1.85918,0.759548,-3.725537,1.864702,0.690013,-3.999285,1.876241,0.811615,-3.997519,1.87593,0.674241
5,0.013889,0.035478,0.200469,0.074683,-0.976205,-3.82183,1.867995,0.752268,0,-3.730304,1.86387,0.825732,0.933416,-3.656818,1.859139,0.759655,0.936136,-3.725421,1.864752,0.690101,0.923563,-3.999213,1.876183,0.811613,0.951753,-3.997395,1.876034,0.67424,0.939885,-3.730304,1.86387,0.825732,-3.656818,1.859139,0.759655,-3.725421,1.864752,0.690101,-3.999213,1.876183,0.811613,-3.997395,1.876034,0.67424
6,0.016667,0.03586,0.200384,0.074396,-0.97623,-3.821876,1.868029,0.752216,0,-3.73033,1.864002,0.82566,0.933416,-3.656858,1.859245,0.759569,0.936136,-3.725481,1.864771,0.690027,0.923563,-3.999247,1.876195,0.811599,0.951753,-3.997464,1.87593,0.674226,0.939885,-3.73033,1.864002,0.82566,-3.656858,1.859245,0.759569,-3.725481,1.864771,0.690027,-3.999247,1.876195,0.811599,-3.997464,1.87593,0.674226
7,0.019444,0.035778,0.200465,0.07456,-0.976204,-3.821829,1.867998,0.752277,0,-3.730298,1.86393,0.825738,0.933152,-3.656816,1.859166,0.75966,0.936307,-3.725423,1.864726,0.690106,0.924032,-3.999209,1.876202,0.811628,0.952881,-3.9974,1.875966,0.674255,0.940509,-3.730298,1.86393,0.825738,-3.656816,1.859166,0.75966,-3.725423,1.864726,0.690106,-3.999209,1.876202,0.811628,-3.9974,1.875966,0.674255
8,0.022222,0.034804,0.200096,0.074429,-0.976325,-3.821747,1.867908,0.752383,0,-3.730167,1.863757,0.825777,0.933152,-3.656723,1.859167,0.759644,0.936307,-3.725379,1.864816,0.690144,0.924032,-3.999095,1.875885,0.811861,0.952881,-3.997372,1.875913,0.674487,0.940509,-3.730167,1.863757,0.825777,-3.656723,1.859167,0.759644,-3.725379,1.864816,0.690144,-3.999095,1.875885,0.811861,-3.997372,1.875913,0.674487
9,0.025,0.035301,0.20021,0.074836,-0.976253,-3.82182,1.867956,0.75232,0,-3.730259,1.863776,0.825737,0.934799,-3.656806,1.859057,0.759622,0.936231,-3.725441,1.864717,0.690104,0.923061,-3.999171,1.876159,0.811755,0.97721,-3.997421,1.876071,0.674381,0.960894,-3.730259,1.863776,0.825737,-3.656806,1.859057,0.759622,-3.725441,1.864717,0.690104,-3.999171,1.876159,0.811755,-3.997421,1.876071,0.674381
10,0.027778,0.035435,0.200248,0.074805,-0.976242,-3.821805,1.867992,0.752314,0,-3.730248,1.863832,0.825737,0.928746,-3.656792,1.859096,0.759628,0.950529,-3.725423,1.864736,0.690104,0.929972,-3.999161,1.87621,0.811736,0.962789,-3.997402,1.876084,0.674363,0.952604,-3.730248,1.863832,0.825737,-3.656792,1.859096,0.759628,-3.725423,1.864736,0.690104,-3.999161,1.87621,0.811736,-3.997402,1.876084,0.674363
11,0.030556,0.035993,0.200278,0.074869,-0.976211,-3.821883,1.867911,0.752339,0,-3.730327,1.863798,0.825766,0.928746,-3.656873,1.858964,0.759661,0.950529,-3.725503,1.864554,0.690132,0.929972,-3.999235,1.876255,0.811754,0.962789,-3.997478,1.875981,0.67438,0.952604,-3.730327,1.863798,0.825766,-3.656873,1.858964,0.759661,-3.725503,1.864554,0.690132,-3.999235,1.876255,0.811754,-3.997478,1.875981,0.67438
12,0.033333,0.036581,0.200446,0.074331,-0.976196,-3.821817,1.868095,0.752325,0,-3.730273,1.86416,0.825777,0.923802,-3.656801,1.859295,0.759694,0.920593,-3.725421,1.864732,0.690143,0.883467,-3.999188,1.876375,0.811693,0.947137,-3.997402,1.875912,0.67432,0.947309,-3.730273,1.86416,0.825777,-3.656801,1.859295,0.759694,-3.725421,1.864732,0.690143,-3.999188,1.876375,0.811693,-3.997402,1.875912,0.67432
13,0.036111,0.035639,0.200317,0.074795,-0.976222,-3.821872,1.867975,0.752324,0,-3.730324,1.863841,0.825759,0.927586,-3.65686,1.859072,0.75966,0.928885,-3.725483,1.864688,0.690126,0.886952,-3.999233,1.876229,0.811723,0.954129,-3.997459,1.876046,0.67435,0.938819,-3.730324,1.863841,0.825759,-3.65686,1.859072,0.75966,-3.725483,1.864688,0.690126,-3.999233,1.876229,0.811723,-3.997459,1.876046,0.67435
