Format Version,1.22,Take Name,DavidFail2,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-08-03 09.17.49.319 AM,Total Frames in Take,7056,Total Exported Frames,7056,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
1716,4.766667,0.004866,0.063073,0.009436,-0.997953,-3.250287,1.081891,0.575943,0.000000,-3.472112,1.074031,0.578652,0.911292,-3.388790,1.156945,0.576079,0.953189,-3.160776,1.058192,0.581589,0.920421,-3.116106,1.058175,0.476939,0.900282,-3.113650,1.062113,0.666456,0.927130,-3.472112,1.074031,0.578652,-3.388790,1.156945,0.576079,-3.160776,1.058192,0.581589,-3.116106,1.058175,0.476939,-3.113650,1.062113,0.666456,,,,,,,,,
1717,4.769444,0.006123,0.062536,0.009052,-0.997983,-3.250187,1.081989,0.576006,0.000000,-3.472004,1.074003,0.578979,0.927970,-3.388735,1.156960,0.576104,0.958910,-3.160655,1.058358,0.581614,0.902435,-3.116101,1.058102,0.476914,0.872054,-3.113439,1.062523,0.666419,0.919259,-3.472004,1.074003,0.578979,-3.388735,1.156960,0.576104,-3.160655,1.058358,0.581614,-3.116101,1.058102,0.476914,-3.113439,1.062523,0.666419,,,,,,,,,
1718,4.772222,0.005615,0.062679,0.009134,-0.997976,-3.250228,1.081908,0.576022,0.000000,-3.472047,1.073941,0.578922,0.943768,-3.388769,1.156892,0.576156,0.961983,-3.160701,1.058263,0.581632,0.922454,-3.116115,1.058109,0.476946,0.884943,-3.113509,1.062337,0.666456,0.956541,-3.472047,1.073941,0.578922,-3.388769,1.156892,0.576156,-3.160701,1.058263,0.581632,-3.116115,1.058109,0.476946,-3.113509,1.062337,0.666456,,,,,,,,,
1719,4.775000,0.005518,0.062960,0.009425,-0.997956,-3.250299,1.081957,0.575994,0.000000,-3.472124,1.074114,0.578766,0.915454,-3.388797,1.157019,0.576066,0.932664,-3.160788,1.058259,0.581650,0.903893,-3.116143,1.058103,0.476989,0.916373,-3.113642,1.062287,0.666501,0.966280,-3.472124,1.074114,0.578766,-3.388797,1.157019,0.576066,-3.160788,1.058259,0.581650,-3.116143,1.058103,0.476989,-3.113642,1.062287,0.666501,,,,,,,,,
1720,4.777778,0.005865,0.062285,0.008816,-0.998002,-3.250250,1.081956,0.576019,0.000000,-3.472062,1.073857,0.579099,0.881454,-3.388835,1.156857,0.576223,0.900405,-3.160704,1.058367,0.581570,0.919833,-3.116202,1.058184,0.476849,0.857981,-3.113447,1.062514,0.666354,0.949365,-3.472062,1.073857,0.579099,-3.388835,1.156857,0.576223,-3.160704,1.058367,0.581570,-3.116202,1.058184,0.476849,-3.113447,1.062514,0.666354,,,,,,,,,
1721,4.780556,0.005783,0.062521,0.008673,-0.997989,-3.250262,1.081787,0.576035,0.000000,-3.472073,1.073622,0.579010,0.935703,-3.388869,1.156647,0.576185,0.939910,-3.160711,1.058224,0.581625,0.919464,-3.116159,1.058069,0.476925,0.898145,-3.113495,1.062373,0.666432,0.957212,-3.472073,1.073622,0.579010,-3.388869,1.156647,0.576185,-3.160711,1.058224,0.581625,-3.116159,1.058069,0.476925,-3.113495,1.062373,0.666432,,,,,,,,,
1722,4.783333,0.005714,0.062722,0.009221,-0.997972,-3.250293,1.081911,0.575882,0.000000,-3.472114,1.073986,0.578764,0.935703,-3.388819,1.156921,0.575989,0.939910,-3.160770,1.058250,0.581504,0.919464,-3.116176,1.058068,0.476822,0.898145,-3.113585,1.062331,0.666331,0.957212,-3.472114,1.073986,0.578764,-3.388819,1.156921,0.575989,-3.160770,1.058250,0.581504,-3.116176,1.058068,0.476822,-3.113585,1.062331,0.666331,,,,,,,,,
1723,4.786111,0.005401,0.062989,0.009323,-0.997956,-3.250162,1.081996,0.575977,0.000000,-3.471986,1.074104,0.578733,0.909619,-3.388677,1.157028,0.576056,0.948089,-3.160646,1.058317,0.581632,0.890989,-3.115995,1.058194,0.476974,0.878805,-3.113507,1.062336,0.666487,0.859112,-3.471986,1.074104,0.578733,-3.388677,1.157028,0.576056,-3.160646,1.058317,0.581632,-3.115995,1.058194,0.476974,-3.113507,1.062336,0.666487,,,,,,,,,
1724,4.788889,0.005246,0.062604,0.008950,-0.997985,-3.250325,1.081856,0.575958,0.000000,-3.472141,1.073795,0.578884,0.918885,-3.388897,1.156783,0.576165,0.935886,-3.160787,1.058244,0.581538,0.912741,-3.116217,1.058183,0.476845,0.926240,-3.113585,1.062276,0.666357,0.959664,-3.472141,1.073795,0.578884,-3.388897,1.156783,0.576165,-3.160787,1.058244,0.581538,-3.116217,1.058183,0.476845,-3.113585,1.062276,0.666357,,,,,,,,,
1725,4.791667,0.006038,0.062297,0.008436,-0.998004,-3.250158,1.081882,0.576031,0.000000,-3.471964,1.073620,0.579111,0.880046,-3.388799,1.156681,0.576204,0.890657,-3.160595,1.058361,0.581593,0.911199,-3.116091,1.058169,0.476872,0.883682,-3.113343,1.062576,0.666376,0.940909,-3.471964,1.073620,0.579111,-3.388799,1.156681,0.576204,-3.160595,1.058361,0.581593,-3.116091,1.058169,0.476872,-3.113343,1.062576,0.666376,,,,,,,,,
1726,4.794444,0.005780,0.062591,0.009018,-0.997982,-3.250267,1.081956,0.575971,0.000000,-3.472084,1.073943,0.578913,0.878795,-3.388823,1.156911,0.576103,0.934635,-3.160733,1.058331,0.581573,0.873657,-3.116166,1.058151,0.476878,0.937589,-3.113527,1.062444,0.666386,0.917546,-3.472084,1.073943,0.578913,-3.388823,1.156911,0.576103,-3.160733,1.058331,0.581573,-3.116166,1.058151,0.476878,-3.113527,1.062444,0.666386,,,,,,,,,
1727,4.797222,0.005452,0.062688,0.008595,-0.997981,-3.250271,1.081716,0.576035,0.000000,-3.472081,1.073504,0.578929,0.878795,-3.388894,1.156548,0.576186,0.934635,-3.160717,1.058167,0.581640,0.873657,-3.116130,1.058089,0.476955,0.937589,-3.113532,1.062270,0.666465,0.917546,-3.472081,1.073504,0.578929,-3.388894,1.156548,0.576186,-3.160717,1.058167,0.581640,-3.116130,1.058089,0.476955,-3.113532,1.062270,0.666465,,,,,,,,,
1728,4.800000,0.005669,0.062735,0.008715,-0.997976,-3.250105,1.081960,0.575919,0.000000,-3.471918,1.073808,0.578796,0.937413,-3.388708,1.156829,0.576025,0.945675,-3.160559,1.058389,0.581543,0.922900,-3.115962,1.058255,0.476861,0.906871,-3.113379,1.062516,0.666370,0.960021,-3.471918,1.073808,0.578796,-3.388708,1.156829,0.576025,-3.160559,1.058389,0.581543,-3.115962,1.058255,0.476861,-3.113380,1.062516,0.666370,,,,,,,,,
1729,4.802778,0.006599,0.062461,0.008853,-0.997986,-3.250137,1.082008,0.575975,0.000000,-3.471951,1.073950,0.578992,0.881127,-3.388710,1.156932,0.576022,0.902752,-3.160596,1.058413,0.581591,0.908425,-3.116059,1.058069,0.476885,0.884710,-3.113368,1.062676,0.666384,0.935001,-3.471951,1.073950,0.578992,-3.388710,1.156932,0.576022,-3.160596,1.058413,0.581591,-3.116059,1.058069,0.476885,-3.113368,1.062676,0.666384,,,,,,,,,
1730,4.805556,0.006026,0.062641,0.008696,-0.997980,-3.250252,1.081972,0.576020,0.000000,-3.472065,1.073824,0.578946,0.931803,-3.388855,1.156842,0.576100,0.962424,-3.160705,1.058405,0.581643,0.908497,-3.116128,1.058196,0.476953,0.896726,-3.113509,1.062592,0.666458,0.939394,-3.472065,1.073824,0.578946,-3.388855,1.156842,0.576100,-3.160705,1.058405,0.581643,-3.116128,1.058196,0.476953,-3.113509,1.062592,0.666458,,,,,,,,,
1731,4.808333,0.005657,0.062747,0.008960,-0.997973,-3.250175,1.082000,0.575925,0.000000,-3.471992,1.073957,0.578796,0.934437,-3.388741,1.156937,0.576032,0.950395,-3.160640,1.058386,0.581550,0.923235,-3.116041,1.058236,0.476869,0.894358,-3.113461,1.062485,0.666379,0.962832,-3.471992,1.073957,0.578796,-3.388741,1.156937,0.576032,-3.160640,1.058386,0.581550,-3.116041,1.058236,0.476869,-3.113461,1.062485,0.666379,,,,,,,,,
1732,4.811111,0.006105,0.062759,0.009151,-0.997968,-3.250226,1.082091,0.575912,0.000000,-3.472046,1.074147,0.578785,0.905930,-3.388759,1.157088,0.575951,0.932188,-3.160701,1.058442,0.581559,0.906478,-3.116099,1.058182,0.476880,0.911802,-3.113522,1.062595,0.666385,0.949923,-3.472046,1.074147,0.578785,-3.388759,1.157088,0.575951,-3.160701,1.058442,0.581559,-3.116099,1.058182,0.476880,-3.113522,1.062595,0.666385,,,,,,,,,
1733,4.813889,0.005756,0.062313,0.009021,-0.997999,-3.250210,1.082000,0.575967,0.000000,-3.472025,1.073988,0.579032,0.905930,-3.388766,1.156956,0.576181,0.932188,-3.160674,1.058374,0.581518,0.906478,-3.116165,1.058199,0.476799,0.911802,-3.113420,1.062482,0.666305,0.949923,-3.472025,1.073988,0.579032,-3.388766,1.156956,0.576181,-3.160674,1.058374,0.581518,-3.116165,1.058199,0.476799,-3.113420,1.062482,0.666305,,,,,,,,,
1734,4.816667,0.005358,0.062900,0.008856,-0.997966,-3.250198,1.081877,0.576043,0.000000,-3.472014,1.073778,0.578841,0.934951,-3.388783,1.156780,0.576151,0.949718,-3.160659,1.058282,0.581682,0.917681,-3.116027,1.058204,0.477016,0.893267,-3.113508,1.062343,0.666528,0.949220,-3.472014,1.073778,0.578841,-3.388783,1.156780,0.576151,-3.160659,1.058282,0.581682,-3.116027,1.058204,0.477016,-3.113508,1.062343,0.666528,,,,,,,,,
1735,4.819444,0.006255,0.062348,0.008764,-0.997997,-3.250271,1.081986,0.575947,0.000000,-3.472083,1.073877,0.579008,0.946343,-3.388861,1.156880,0.576076,0.962892,-3.160724,1.058407,0.581527,0.914105,-3.116210,1.058144,0.476811,0.894941,-3.113478,1.062623,0.666313,0.952731,-3.472083,1.073877,0.579008,-3.388861,1.156880,0.576076,-3.160724,1.058407,0.581527,-3.116210,1.058144,0.476811,-3.113478,1.062623,0.666313,,,,,,,,,
1736,4.822222,0.005998,0.062491,0.008674,-0.997990,-3.250139,1.081764,0.575962,0.000000,-3.471950,1.073606,0.578954,0.937050,-3.388744,1.156628,0.576088,0.942445,-3.160589,1.058201,0.581556,0.926223,-3.116044,1.058000,0.476853,0.904869,-3.113367,1.062385,0.666358,0.956465,-3.471950,1.073606,0.578954,-3.388744,1.156628,0.576088,-3.160589,1.058201,0.581556,-3.116044,1.058000,0.476853,-3.113367,1.062385,0.666358,,,,,,,,,
1737,4.825000,0.005561,0.062774,0.009216,-0.997970,-3.250216,1.081990,0.575986,0.000000,-3.472036,1.074056,0.578842,0.935416,-3.388744,1.156995,0.576102,0.950642,-3.160693,1.058329,0.581611,0.924522,-3.116087,1.058180,0.476933,0.899085,-3.113517,1.062386,0.666444,0.971247,-3.472036,1.074056,0.578842,-3.388744,1.156995,0.576102,-3.160693,1.058329,0.581611,-3.116087,1.058180,0.476933,-3.113517,1.062386,0.666444,,,,,,,,,
1738,4.827778,0.005898,0.062487,0.009133,-0.997987,-3.250309,1.081960,0.575917,0.000000,-3.472128,1.074002,0.578907,0.860459,-3.388847,1.156949,0.576062,0.886906,-3.160781,1.058315,0.581505,0.906265,-3.116236,1.058100,0.476802,0.863571,-3.113556,1.062435,0.666308,0.878359,-3.472128,1.074002,0.578907,-3.388847,1.156949,0.576062,-3.160781,1.058315,0.581505,-3.116236,1.058100,0.476802,-3.113556,1.062435,0.666308,,,,,,,,,
1739,4.830556,0.005346,0.062444,0.008778,-0.997996,-3.250328,1.081778,0.576016,0.000000,-3.472140,1.073645,0.579016,0.860459,-3.388924,1.156660,0.576252,0.886906,-3.160780,1.058197,0.581572,0.906265,-3.116244,1.058127,0.476865,0.863571,-3.113552,1.062263,0.666375,0.878359,-3.472140,1.073645,0.579016,-3.388924,1.156660,0.576252,-3.160780,1.058197,0.581572,-3.116244,1.058127,0.476865,-3.113552,1.062263,0.666375,,,,,,,,,
1740,4.833333,0.005811,0.062428,0.008641,-0.997995,-3.250119,1.081856,0.576017,0.000000,-3.471929,1.073677,0.579034,0.922042,-3.388731,1.156707,0.576188,0.958070,-3.160566,1.058298,0.581592,0.902377,-3.116034,1.058140,0.476883,0.882481,-3.113335,1.062455,0.666390,0.913039,-3.471929,1.073677,0.579034,-3.388731,1.156707,0.576188,-3.160566,1.058298,0.581592,-3.116034,1.058140,0.476883,-3.113335,1.062455,0.666390,,,,,,,,,
1741,4.836111,0.005898,0.062637,0.009008,-0.997978,-3.250211,1.082003,0.575989,0.000000,-3.472028,1.073989,0.578913,0.935684,-3.388767,1.156957,0.576091,0.953285,-3.160677,1.058380,0.581605,0.923778,-3.116101,1.058175,0.476914,0.899981,-3.113479,1.062513,0.666421,0.971797,-3.472028,1.073989,0.578913,-3.388767,1.156957,0.576091,-3.160677,1.058380,0.581605,-3.116101,1.058175,0.476915,-3.113479,1.062513,0.666421,,,,,,,,,
1742,4.838889,0.005164,0.062799,0.009091,-0.997971,-3.250323,1.081874,0.576011,0.000000,-3.472142,1.073872,0.578848,0.925864,-3.388874,1.156838,0.576177,0.955238,-3.160793,1.058236,0.581622,0.903399,-3.116182,1.058182,0.476947,0.886604,-3.113623,1.062241,0.666461,0.908611,-3.472142,1.073872,0.578848,-3.388874,1.156838,0.576177,-3.160793,1.058236,0.581622,-3.116182,1.058182,0.476947,-3.113623,1.062241,0.666461,,,,,,,,,
1743,4.841667,0.005553,0.062679,0.009017,-0.997978,-3.250270,1.081916,0.576054,0.000000,-3.472087,1.073895,0.578952,0.884889,-3.388829,1.156867,0.576195,0.885967,-3.160737,1.058292,0.581661,0.923766,-3.116151,1.058160,0.476975,0.903459,-3.113546,1.062368,0.666485,0.960661,-3.472087,1.073895,0.578952,-3.388829,1.156867,0.576195,-3.160737,1.058292,0.581661,-3.116151,1.058160,0.476975,-3.113546,1.062368,0.666485,,,,,,,,,
1744,4.844444,0.005465,0.062823,0.009017,-0.997969,-3.250312,1.081971,0.575969,0.000000,-3.472130,1.073946,0.578802,0.884889,-3.388872,1.156919,0.576084,0.885967,-3.160780,1.058346,0.581599,0.923766,-3.116164,1.058233,0.476925,0.903459,-3.113614,1.062408,0.666437,0.960661,-3.472130,1.073946,0.578802,-3.388872,1.156919,0.576084,-3.160780,1.058346,0.581599,-3.116164,1.058233,0.476925,-3.113614,1.062408,0.666437,,,,,,,,,
1745,4.847222,0.006244,0.062083,0.008802,-0.998013,-3.250294,1.081972,0.575987,0.000000,-3.472105,1.073880,0.579165,0.870110,-3.388878,1.156877,0.576191,0.897123,-3.160746,1.058386,0.581519,0.900357,-3.116287,1.058123,0.476779,0.881609,-3.113454,1.062596,0.666280,0.912182,-3.472105,1.073880,0.579165,-3.388878,1.156877,0.576191,-3.160746,1.058386,0.581519,-3.116287,1.058123,0.476779,-3.113454,1.062596,0.666280,,,,,,,,,
1746,4.850000,0.005615,0.062766,0.008981,-0.997972,-3.250198,1.081894,0.575973,0.000000,-3.472015,1.073858,0.578835,0.879322,-3.388762,1.156835,0.576081,0.888443,-3.160664,1.058276,0.581599,0.910995,-3.116060,1.058133,0.476921,0.882220,-3.113488,1.062366,0.666431,0.940014,-3.472015,1.073858,0.578835,-3.388762,1.156835,0.576081,-3.160664,1.058276,0.581599,-3.116060,1.058133,0.476921,-3.113488,1.062366,0.666431,,,,,,,,,
1747,4.852778,0.006182,0.062543,0.009167,-0.997981,-3.250240,1.081994,0.575991,0.000000,-3.472059,1.074060,0.578962,0.929236,-3.388770,1.156997,0.576079,0.954221,-3.160714,1.058342,0.581603,0.901389,-3.116158,1.058064,0.476904,0.883168,-3.113497,1.062505,0.666408,0.906605,-3.472059,1.074060,0.578962,-3.388770,1.156997,0.576079,-3.160714,1.058342,0.581603,-3.116158,1.058064,0.476904,-3.113497,1.062505,0.666408,,,,,,,,,
1748,4.855556,0.005822,0.062234,0.009041,-0.998004,-3.250373,1.081990,0.575970,0.000000,-3.472188,1.073989,0.579072,0.921544,-3.388925,1.156953,0.576197,0.965857,-3.160837,1.058361,0.581510,0.925532,-3.116345,1.058170,0.476784,0.889124,-3.113570,1.062477,0.666289,0.953718,-3.472188,1.073989,0.579072,-3.388925,1.156953,0.576197,-3.160837,1.058361,0.581510,-3.116345,1.058170,0.476784,-3.113570,1.062477,0.666289,,,,,,,,,
1749,4.858333,0.005920,0.062620,0.009264,-0.997977,-3.250308,1.081910,0.575977,0.000000,-3.472129,1.074011,0.578908,0.927739,-3.388826,1.156936,0.576083,0.952131,-3.160787,1.058241,0.581590,0.902255,-3.116214,1.058012,0.476898,0.877594,-3.113583,1.062351,0.666405,0.931465,-3.472129,1.074011,0.578908,-3.388826,1.156936,0.576083,-3.160787,1.058241,0.581590,-3.116214,1.058012,0.476898,-3.113583,1.062351,0.666405,,,,,,,,,
1750,4.861111,0.005005,0.063035,0.009034,-0.997958,-3.250220,1.081891,0.575921,0.000000,-3.472039,1.073858,0.578650,0.927739,-3.388782,1.156836,0.576044,0.952131,-3.160690,1.058264,0.581567,0.902255,-3.116028,1.058248,0.476913,0.877594,-3.113560,1.062249,0.666430,0.931465,-3.472039,1.073858,0.578650,-3.388782,1.156836,0.576044,-3.160690,1.058264,0.581567,-3.116028,1.058248,0.476913,-3.113560,1.062249,0.666430,,,,,,,,,
1751,4.863889,0.005457,0.062821,0.009147,-0.997968,-3.250271,1.081880,0.575966,0.000000,-3.472091,1.073912,0.578799,0.892994,-3.388811,1.156864,0.576083,0.894357,-3.160745,1.058232,0.581594,0.915836,-3.116129,1.058110,0.476921,0.890693,-3.113577,1.062279,0.666433,0.967456,-3.472091,1.073912,0.578799,-3.388811,1.156864,0.576083,-3.160745,1.058232,0.581594,-3.116129,1.058110,0.476921,-3.113577,1.062279,0.666433,,,,,,,,,
1752,4.866667,0.005459,0.062851,0.009502,-0.997963,-3.250235,1.081935,0.576029,0.000000,-3.472061,1.074124,0.578847,0.925516,-3.388722,1.157018,0.576140,0.955217,-3.160727,1.058224,0.581662,0.901056,-3.116104,1.058075,0.476991,0.885380,-3.113562,1.062234,0.666503,0.907995,-3.472061,1.074124,0.578847,-3.388722,1.157018,0.576140,-3.160727,1.058224,0.581662,-3.116104,1.058075,0.476991,-3.113562,1.062234,0.666503,,,,,,,,,
1753,4.869444,0.005670,0.062680,0.008763,-0.997979,-3.250297,1.081914,0.576007,0.000000,-3.472110,1.073784,0.578909,0.891459,-3.388893,1.156796,0.576130,0.892748,-3.160752,1.058335,0.581621,0.920812,-3.116167,1.058197,0.476934,0.892166,-3.113563,1.062456,0.666443,0.972106,-3.472110,1.073784,0.578909,-3.388893,1.156796,0.576130,-3.160752,1.058335,0.581621,-3.116167,1.058197,0.476934,-3.113563,1.062456,0.666443,,,,,,,,,
1754,4.872222,0.005517,0.062729,0.008498,-0.997979,-3.250207,1.081830,0.575974,0.000000,-3.472016,1.073578,0.578851,0.916379,-3.388844,1.156637,0.576103,0.964685,-3.160650,1.058299,0.581589,0.879646,-3.116054,1.058214,0.476907,0.912344,-3.113472,1.062424,0.666418,0.937539,-3.472016,1.073578,0.578851,-3.388844,1.156637,0.576103,-3.160650,1.058299,0.581589,-3.116054,1.058214,0.476907,-3.113472,1.062424,0.666418,,,,,,,,,
1755,4.875000,0.005770,0.062737,0.008586,-0.997976,-3.250170,1.081788,0.575996,0.000000,-3.471980,1.073583,0.578874,0.938628,-3.388791,1.156623,0.576086,0.952776,-3.160617,1.058241,0.581624,0.925134,-3.116020,1.058095,0.476943,0.909526,-3.113439,1.062397,0.666451,0.961088,-3.471980,1.073583,0.578874,-3.388791,1.156623,0.576086,-3.160617,1.058241,0.581624,-3.116020,1.058095,0.476943,-3.113439,1.062397,0.666451,,,,,,,,,
1756,4.877778,0.005071,0.062807,0.008613,-0.997976,-3.250288,1.081715,0.575987,0.000000,-3.472099,1.073499,0.578820,0.938628,-3.388912,1.156546,0.576161,0.952776,-3.160736,1.058164,0.581596,0.925134,-3.116123,1.058165,0.476921,0.909526,-3.113571,1.062203,0.666436,0.961088,-3.472099,1.073499,0.578820,-3.388912,1.156546,0.576161,-3.160736,1.058164,0.581596,-3.116123,1.058165,0.476921,-3.113571,1.062203,0.666436,,,,,,,,,
1757,4.880556,0.005387,0.062757,0.008810,-0.997975,-3.250252,1.081750,0.575952,0.000000,-3.472066,1.073631,0.578813,0.922653,-3.388843,1.156640,0.576094,0.960906,-3.160709,1.058162,0.581566,0.899450,-3.116107,1.058082,0.476887,0.878306,-3.113534,1.062233,0.666398,0.926459,-3.472066,1.073631,0.578813,-3.388843,1.156640,0.576094,-3.160709,1.058162,0.581566,-3.116107,1.058082,0.476887,-3.113534,1.062233,0.666398,,,,,,,,,
1758,4.883333,0.005550,0.062720,0.009066,-0.997975,-3.250223,1.081935,0.576030,0.000000,-3.472041,1.073935,0.578910,0.931758,-3.388774,1.156899,0.576161,0.963526,-3.160692,1.058302,0.581644,0.928725,-3.116098,1.058167,0.476962,0.864221,-3.113508,1.062373,0.666472,0.940452,-3.472041,1.073935,0.578910,-3.388774,1.156899,0.576161,-3.160692,1.058302,0.581644,-3.116098,1.058167,0.476962,-3.113508,1.062373,0.666472,,,,,,,,,
1759,4.886111,0.004884,0.063184,0.009362,-0.997946,-3.250341,1.081974,0.575858,0.000000,-3.472166,1.074082,0.578518,0.918055,-3.388855,1.157007,0.575960,0.953553,-3.160827,1.058288,0.581526,0.900798,-3.116134,1.058272,0.476885,0.886951,-3.113722,1.062220,0.666403,0.906294,-3.472166,1.074082,0.578518,-3.388855,1.157007,0.575960,-3.160827,1.058288,0.581526,-3.116134,1.058272,0.476885,-3.113722,1.062220,0.666403,,,,,,,,,
1760,4.888889,0.005928,0.062496,0.008848,-0.997988,-3.250237,1.081916,0.576012,0.000000,-3.472051,1.073833,0.579000,0.933573,-3.388818,1.156826,0.576148,0.951716,-3.160695,1.058321,0.581604,0.914724,-3.116149,1.058122,0.476901,0.899186,-3.113474,1.062476,0.666407,0.946235,-3.472051,1.073833,0.579000,-3.388818,1.156826,0.576148,-3.160695,1.058321,0.581604,-3.116149,1.058122,0.476901,-3.113474,1.062476,0.666407,,,,,,,,,
1761,4.891667,0.005697,0.062754,0.009157,-0.997971,-3.250216,1.081966,0.576005,0.000000,-3.472036,1.074010,0.578873,0.933573,-3.388752,1.156957,0.576106,0.951716,-3.160690,1.058316,0.581633,0.914724,-3.116089,1.058143,0.476953,0.899186,-3.113511,1.062401,0.666462,0.946235,-3.472036,1.074010,0.578873,-3.388752,1.156957,0.576106,-3.160690,1.058316,0.581633,-3.116089,1.058143,0.476953,-3.113511,1.062401,0.666462,,,,,,,,,
1762,4.894444,0.005572,0.062577,0.008282,-0.997990,-3.250207,1.081820,0.575925,0.000000,-3.472012,1.073474,0.578873,0.936611,-3.388875,1.156568,0.576087,0.950433,-3.160638,1.058328,0.581517,0.925793,-3.116075,1.058248,0.476821,0.911580,-3.113435,1.062484,0.666330,0.961617,-3.472012,1.073474,0.578873,-3.388875,1.156568,0.576087,-3.160638,1.058328,0.581517,-3.116075,1.058248,0.476821,-3.113435,1.062484,0.666330,,,,,,,,,
1763,4.897222,0.005483,0.062748,0.009220,-0.997972,-3.250232,1.081916,0.576058,0.000000,-3.472053,1.073982,0.578923,0.932549,-3.388762,1.156922,0.576192,0.948557,-3.160709,1.058255,0.581674,0.912175,-3.116109,1.058123,0.476994,0.884765,-3.113529,1.062299,0.666505,0.941934,-3.472053,1.073982,0.578923,-3.388762,1.156922,0.576192,-3.160709,1.058255,0.581674,-3.116109,1.058123,0.476994,-3.113529,1.062299,0.666505,,,,,,,,,
1764,4.900000,0.005237,0.062687,0.008695,-0.997982,-3.250256,1.081805,0.575935,0.000000,-3.472067,1.073630,0.578825,0.896112,-3.388865,1.156661,0.576119,0.932831,-3.160706,1.058239,0.581530,0.855728,-3.116119,1.058199,0.476845,0.923948,-3.113520,1.062297,0.666357,0.899343,-3.472067,1.073630,0.578825,-3.388865,1.156661,0.576119,-3.160706,1.058239,0.581530,-3.116119,1.058199,0.476845,-3.113520,1.062297,0.666357,,,,,,,,,
1765,4.902778,0.005740,0.062640,0.009252,-0.997977,-3.250239,1.081997,0.575981,0.000000,-3.472059,1.074086,0.578900,0.935646,-3.388760,1.157016,0.576108,0.951003,-3.160717,1.058331,0.581590,0.923985,-3.116139,1.058141,0.476900,0.900046,-3.113517,1.062412,0.666408,0.971649,-3.472059,1.074086,0.578900,-3.388760,1.157016,0.576108,-3.160717,1.058331,0.581590,-3.116139,1.058141,0.476900,-3.113517,1.062412,0.666408,,,,,,,,,
1766,4.905556,0.006506,0.062525,0.009226,-0.997980,-3.250221,1.082027,0.575952,0.000000,-3.472042,1.074130,0.578936,0.927779,-3.388740,1.157052,0.575997,0.963410,-3.160699,1.058365,0.581574,0.912875,-3.116147,1.058012,0.476874,0.895371,-3.113479,1.062574,0.666375,0.936278,-3.472042,1.074130,0.578936,-3.388740,1.157052,0.575997,-3.160699,1.058365,0.581574,-3.116147,1.058012,0.476874,-3.113479,1.062574,0.666375,,,,,,,,,
1767,4.908333,0.005699,0.062766,0.009331,-0.997968,-3.250275,1.081907,0.576002,0.000000,-3.472098,1.074029,0.578864,0.927779,-3.388786,1.156947,0.576101,0.963410,-3.160758,1.058226,0.581631,0.912875,-3.116154,1.058039,0.476953,0.895371,-3.113580,1.062293,0.666462,0.936278,-3.472098,1.074029,0.578864,-3.388786,1.156947,0.576101,-3.160758,1.058226,0.581631,-3.116154,1.058039,0.476953,-3.113580,1.062293,0.666462,,,,,,,,,
1768,4.911111,0.005117,0.062664,0.008759,-0.997983,-3.250193,1.081794,0.576027,0.000000,-3.472006,1.073644,0.578925,0.926305,-3.388795,1.156666,0.576235,0.956652,-3.160646,1.058216,0.581613,0.902531,-3.116064,1.058197,0.476925,0.886119,-3.113456,1.062248,0.666439,0.909489,-3.472006,1.073644,0.578925,-3.388795,1.156666,0.576235,-3.160646,1.058216,0.581613,-3.116064,1.058197,0.476925,-3.113456,1.062248,0.666439,,,,,,,,,
1769,4.913889,0.006124,0.062506,0.008914,-0.997986,-3.250265,1.081944,0.575878,0.000000,-3.472080,1.073897,0.578865,0.934495,-3.388833,1.156877,0.575983,0.952254,-3.160726,1.058338,0.581480,0.924791,-3.116178,1.058092,0.476778,0.900792,-3.113506,1.062518,0.666282,0.972390,-3.472080,1.073897,0.578865,-3.388833,1.156877,0.575983,-3.160726,1.058338,0.581480,-3.116178,1.058092,0.476778,-3.113506,1.062518,0.666282,,,,,,,,,
1770,4.916667,0.005939,0.062671,0.008704,-0.997979,-3.250149,1.081892,0.575931,0.000000,-3.471962,1.073745,0.578842,0.920202,-3.388751,1.156763,0.576016,0.968139,-3.160602,1.058324,0.581555,0.929462,-3.116019,1.058132,0.476868,0.892561,-3.113412,1.062495,0.666374,0.927911,-3.471962,1.073745,0.578842,-3.388751,1.156763,0.576016,-3.160602,1.058324,0.581555,-3.116019,1.058132,0.476868,-3.113412,1.062495,0.666374,,,,,,,,,
