Format Version,1.22,Take Name,DavidFail2,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-08-03 09.17.49.319 AM,Total Frames in Take,7056,Total Exported Frames,7056,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.016667,0.005398,0.062830,0.009037,-0.997969,-3.250190,1.081965,0.575999,0.000000,-3.472008,1.073947,0.578827,0.941364,-3.388747,1.156918,0.576122,0.952527,-3.160659,1.058337,0.581626,0.910971,-3.116041,1.058237,0.476954,0.882669,-3.113494,1.062386,0.666466,0.941234,-3.472008,1.073947,0.578827,-3.388747,1.156918,0.576122,-3.160659,1.058337,0.581626,-3.116041,1.058237,0.476954,-3.113494,1.062386,0.666466,,,,,,,,,
7,0.019444,0.005143,0.062720,0.009188,-0.997976,-3.250268,1.081893,0.575987,0.000000,-3.472088,1.073933,0.578858,0.937581,-3.388806,1.156884,0.576178,0.952103,-3.160743,1.058238,0.581582,0.924323,-3.116147,1.058181,0.476900,0.912835,-3.113558,1.062229,0.666414,0.965082,-3.472088,1.073933,0.578858,-3.388805,1.156884,0.576178,-3.160743,1.058238,0.581582,-3.116147,1.058181,0.476900,-3.113558,1.062229,0.666414,,,,,,,,,
8,0.022222,0.006233,0.062435,0.008682,-0.997992,-3.250203,1.082013,0.576000,0.000000,-3.472014,1.073867,0.579021,0.924440,-3.388805,1.156884,0.576107,0.947191,-3.160653,1.058449,0.581595,0.900612,-3.116120,1.058197,0.476887,0.882978,-3.113422,1.062670,0.666389,0.906777,-3.472014,1.073867,0.579021,-3.388805,1.156884,0.576107,-3.160653,1.058449,0.581595,-3.116120,1.058197,0.476887,-3.113422,1.062670,0.666389,,,,,,,,,
9,0.025000,0.006278,0.062356,0.008751,-0.997996,-3.250338,1.081993,0.575944,0.000000,-3.472150,1.073879,0.579001,0.927082,-3.388929,1.156883,0.576067,0.956482,-3.160791,1.058415,0.581527,0.907944,-3.116274,1.058148,0.476811,0.882530,-3.113545,1.062637,0.666313,0.944856,-3.472150,1.073879,0.579001,-3.388929,1.156883,0.576067,-3.160791,1.058415,0.581527,-3.116274,1.058148,0.476811,-3.113545,1.062637,0.666313,,,,,,,,,
10,0.027778,0.005467,0.062365,0.009055,-0.997997,-3.250277,1.081921,0.575925,0.000000,-3.472093,1.073914,0.578961,0.885915,-3.388830,1.156881,0.576167,0.924248,-3.160742,1.058289,0.581472,0.886479,-3.116222,1.058173,0.476758,0.876545,-3.113498,1.062346,0.666267,0.818506,-3.472093,1.073914,0.578961,-3.388830,1.156881,0.576167,-3.160742,1.058289,0.581472,-3.116222,1.058173,0.476758,-3.113498,1.062346,0.666267,,,,,,,,,
11,0.030556,0.005414,0.062963,0.009148,-0.997959,-3.250344,1.081891,0.575990,0.000000,-3.472165,1.073923,0.578760,0.878901,-3.388885,1.156875,0.576074,0.929253,-3.160820,1.058244,0.581642,0.884688,-3.116174,1.058131,0.476982,0.948813,-3.113677,1.062283,0.666494,0.930456,-3.472165,1.073923,0.578760,-3.388885,1.156875,0.576074,-3.160820,1.058244,0.581642,-3.116174,1.058131,0.476982,-3.113677,1.062283,0.666494,,,,,,,,,
12,0.033333,0.005855,0.062223,0.008588,-0.998008,-3.250286,1.081834,0.575970,0.000000,-3.472094,1.073634,0.579079,0.878901,-3.388905,1.156672,0.576191,0.929253,-3.160728,1.058286,0.581510,0.884688,-3.116239,1.058123,0.476783,0.948813,-3.113462,1.062456,0.666288,0.930456,-3.472094,1.073634,0.579079,-3.388905,1.156672,0.576191,-3.160728,1.058286,0.581510,-3.116239,1.058123,0.476783,-3.113462,1.062456,0.666288,,,,,,,,,
13,0.036111,0.006169,0.062692,0.008620,-0.997977,-3.250202,1.081854,0.575921,0.000000,-3.472013,1.073678,0.578828,0.871762,-3.388814,1.156706,0.575965,0.895621,-3.160652,1.058301,0.581560,0.901077,-3.116065,1.058067,0.476874,0.875764,-3.113465,1.062519,0.666379,0.922651,-3.472013,1.073678,0.578828,-3.388814,1.156706,0.575965,-3.160652,1.058301,0.581560,-3.116065,1.058067,0.476874,-3.113465,1.062519,0.666379,,,,,,,,,
14,0.038889,0.006076,0.062621,0.008282,-0.997985,-3.250182,1.081800,0.575970,0.000000,-3.471988,1.073472,0.578907,0.920549,-3.388846,1.156557,0.576045,0.938270,-3.160615,1.058308,0.581592,0.903323,-3.116044,1.058119,0.476900,0.915745,-3.113419,1.062546,0.666404,0.945870,-3.471988,1.073472,0.578907,-3.388846,1.156557,0.576045,-3.160615,1.058308,0.581592,-3.116044,1.058119,0.476900,-3.113419,1.062546,0.666404,,,,,,,,,
15,0.041667,0.006177,0.062406,0.008805,-0.997993,-3.250281,1.081987,0.576001,0.000000,-3.472094,1.073893,0.579034,0.939095,-3.388865,1.156890,0.576125,0.954158,-3.160736,1.058400,0.581588,0.915096,-3.116209,1.058151,0.476877,0.895822,-3.113500,1.062600,0.666380,0.952728,-3.472094,1.073893,0.579034,-3.388865,1.156890,0.576125,-3.160736,1.058400,0.581588,-3.116209,1.058151,0.476877,-3.113500,1.062600,0.666380,,,,,,,,,
