Format Version,1.22,Take Name,day 2 back right triangle,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-07-20 09.10.08.679 AM,Total Frames in Take,1339,Total Exported Frames,1339,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.016667,-0.002272,0.104736,-0.125526,-0.986544,2.483459,0.168198,0.859717,0.000000,2.471779,0.163708,0.869942,0.931338,2.428966,0.159094,0.724439,0.900800,2.567810,0.182445,0.867445,0.894994,2.465282,0.167547,0.977043,0.864186,2.471779,0.163708,0.869942,2.428966,0.159094,0.724439,2.567810,0.182445,0.867445,2.465282,0.167547,0.977043,-3.105076,1.290358,-4.833197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.019444,-0.002851,0.104431,-0.126148,-0.986495,2.483380,0.168262,0.859725,0.000000,2.471713,0.163746,0.869954,0.917464,2.428799,0.159211,0.724478,0.851955,2.567716,0.182616,0.867404,0.881356,2.465290,0.167477,0.977063,0.856187,2.471713,0.163746,0.869954,2.428799,0.159211,0.724478,2.567716,0.182616,0.867404,2.465290,0.167477,0.977063,-3.105067,1.290444,-4.833118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.022222,-0.005318,0.105237,-0.127528,-0.986222,2.483445,0.167940,0.859748,0.000000,2.471783,0.163336,0.869943,0.917464,2.429034,0.159355,0.724403,0.851955,2.567726,0.182535,0.867584,0.881356,2.465238,0.166533,0.977062,0.856187,2.471783,0.163336,0.869943,2.429034,0.159355,0.724403,2.567726,0.182535,0.867584,2.465238,0.166533,0.977062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.025000,-0.004869,0.104507,-0.127614,-0.986291,2.483495,0.167964,0.859778,0.000000,2.471847,0.163371,0.869994,0.917464,2.428903,0.159228,0.724515,0.851955,2.567786,0.182573,0.867485,0.881356,2.465445,0.166684,0.977118,0.856187,2.471847,0.163371,0.869994,2.428903,0.159228,0.724515,2.567786,0.182573,0.867485,2.465445,0.166684,0.977118,-3.105356,1.291911,-4.832782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.027778,-0.004734,0.104797,-0.128536,-0.986141,2.483400,0.167786,0.859773,0.000000,2.471753,0.163176,0.869983,0.917464,2.428911,0.158899,0.724478,0.851955,2.567658,0.182552,0.867529,0.881356,2.465276,0.166518,0.977102,0.856187,2.471753,0.163176,0.869983,2.428911,0.158899,0.724478,2.567658,0.182552,0.867529,2.465276,0.166518,0.977102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.030556,-0.005180,0.104434,-0.127808,-0.986272,2.483392,0.167994,0.859699,0.000000,2.471749,0.163390,0.869914,0.917464,2.428775,0.159309,0.724443,0.851955,2.567677,0.182637,0.867395,0.881356,2.465368,0.166641,0.977042,0.856187,2.471749,0.163390,0.869914,2.428775,0.159309,0.724443,2.567677,0.182637,0.867395,2.465368,0.166641,0.977042,-3.105320,1.292021,-4.832754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.033333,-0.005375,0.104894,-0.127735,-0.986231,2.483462,0.167981,0.859766,0.000000,2.471809,0.163372,0.869969,0.953065,2.428961,0.159371,0.724458,0.959475,2.567742,0.182612,0.867543,0.942562,2.465336,0.166569,0.977092,0.937634,2.471809,0.163372,0.869969,2.428961,0.159371,0.724458,2.567742,0.182612,0.867543,2.465336,0.166569,0.977092,-3.105303,1.292151,-4.832747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.036111,-0.002520,0.104703,-0.126295,-0.986448,2.483363,0.168262,0.859718,0.000000,2.471691,0.163749,0.869943,0.953065,2.428870,0.159114,0.724443,0.959475,2.567691,0.182640,0.867442,0.942562,2.465199,0.167545,0.977045,0.937634,2.471691,0.163749,0.869943,2.428870,0.159114,0.724443,2.567691,0.182640,0.867442,2.465199,0.167545,0.977045,-3.105360,1.292188,-4.832696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.038889,-0.005183,0.104281,-0.127706,-0.986301,2.483434,0.168036,0.859680,0.000000,2.471792,0.163434,0.869899,0.953065,2.428772,0.159359,0.724441,0.959475,2.567724,0.182662,0.867350,0.942562,2.465446,0.166688,0.977029,0.937634,2.471792,0.163434,0.869899,2.428772,0.159359,0.724441,2.567724,0.182662,0.867350,2.465446,0.166688,0.977029,-3.105346,1.292278,-4.832689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.041667,-0.002366,0.105115,-0.125713,-0.986479,2.483520,0.168125,0.859795,0.000000,2.471834,0.163627,0.870010,0.942021,2.429130,0.159032,0.724474,0.931142,2.567859,0.182404,0.867589,0.909108,2.465256,0.167439,0.977107,0.872093,2.471834,0.163627,0.870010,2.429130,0.159032,0.724474,2.567859,0.182404,0.867589,2.465256,0.167439,0.977107,-3.105325,1.292325,-4.832656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
