,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,front right triangle,front right triangle,front right triangle,front right triangle,front right triangle,front right triangle,front right triangle,front right triangle,"front right triangle:Marker1","front right triangle:Marker1","front right triangle:Marker1","front right triangle:Marker1","front right triangle:Marker2","front right triangle:Marker2","front right triangle:Marker2","front right triangle:Marker2","front right triangle:Marker3","front right triangle:Marker3","front right triangle:Marker3","front right triangle:Marker3","front right triangle:Marker4","front right triangle:Marker4","front right triangle:Marker4","front right triangle:Marker4",front right triangle:Marker1,front right triangle:Marker1,front right triangle:Marker1,front right triangle:Marker2,front right triangle:Marker2,front right triangle:Marker2,front right triangle:Marker3,front right triangle:Marker3,front right triangle:Marker3,front right triangle:Marker4,front right triangle:Marker4,front right triangle:Marker4
,,"64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","9469D7BF8C1D11E87C158CA0568DC94","9469D7BF8C1D11E87C158CA0568DC94","9469D7BF8C1D11E87C158CA0568DC94","9469D7C08C1D11E87C158CA0568DC94","9469D7C08C1D11E87C158CA0568DC94","9469D7C08C1D11E87C158CA0568DC94","9469D7C18C1D11E87C158CA0568DC94","9469D7C18C1D11E87C158CA0568DC94","9469D7C18C1D11E87C158CA0568DC94","9469D7C28C1D11E87C158CA0568DC94","9469D7C28C1D11E87C158CA0568DC94","9469D7C28C1D11E87C158CA0568DC94"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
234,0.650000,-0.004348,0.007456,0.007680,-0.999933,0.330195,0.168659,-0.149412,0.000000,0.319936,0.167032,-0.137032,0.928435,0.250276,0.178613,-0.271340,0.928321,0.415182,0.160135,-0.158477,0.978005,0.335385,0.168855,-0.030798,0.867532,0.319936,0.167032,-0.137032,0.250276,0.178613,-0.271340,0.415182,0.160135,-0.158477,0.335385,0.168855,-0.030798
235,0.652778,-0.002062,0.006517,0.011301,-0.999913,0.330493,0.168668,-0.149500,0.000000,0.320247,0.167172,-0.137094,0.932014,0.250409,0.178654,-0.271318,0.928290,0.415398,0.159485,-0.158690,0.970151,0.335916,0.169361,-0.030899,0.865786,0.320247,0.167172,-0.137094,0.250409,0.178654,-0.271318,0.415398,0.159485,-0.158690,0.335916,0.169361,-0.030899
236,0.655556,-0.003249,0.006900,0.009250,-0.999928,0.330258,0.168863,-0.149497,0.000000,0.320009,0.167296,-0.137102,0.932014,0.250231,0.178805,-0.271355,0.928290,0.415207,0.160052,-0.158640,0.970151,0.335584,0.169300,-0.030890,0.865786,0.320009,0.167296,-0.137102,0.250231,0.178805,-0.271355,0.415207,0.160052,-0.158640,0.335584,0.169300,-0.030890
237,0.658333,-0.006717,0.008185,0.008043,-0.999912,0.330308,0.168534,-0.149524,0.000000,0.320030,0.166856,-0.137167,0.926409,0.250578,0.179121,-0.271522,0.926205,0.415303,0.159993,-0.158502,0.982031,0.335321,0.168166,-0.030903,0.867589,0.320030,0.166856,-0.137167,0.250578,0.179121,-0.271522,0.415303,0.159993,-0.158502,0.335321,0.168166,-0.030903
238,0.661111,-0.006116,0.006780,0.007331,-0.999931,0.330135,0.168616,-0.149575,0.000000,0.319894,0.166938,-0.137187,0.957091,0.250047,0.178943,-0.271361,0.965001,0.415116,0.160186,-0.158782,0.982047,0.335482,0.168396,-0.030968,0.980078,0.319894,0.166938,-0.137187,0.250047,0.178943,-0.271361,0.415116,0.160186,-0.158782,0.335482,0.168396,-0.030968
239,0.663889,-0.003647,0.006736,0.009273,-0.999928,0.330275,0.168849,-0.149617,0.000000,0.320030,0.167272,-0.137220,0.957091,0.250209,0.178891,-0.271442,0.965001,0.415221,0.160041,-0.158795,0.982047,0.335639,0.169191,-0.031012,0.980078,0.320030,0.167272,-0.137220,0.250209,0.178891,-0.271442,0.415221,0.160041,-0.158795,0.335639,0.169191,-0.031012
240,0.666667,-0.005779,0.006597,0.007953,-0.999930,0.330086,0.168831,-0.149507,0.000000,0.319848,0.167175,-0.137115,0.815884,0.249966,0.179178,-0.271271,0.881115,0.415054,0.160290,-0.158741,0.916788,0.335478,0.168684,-0.030903,0.833655,0.319848,0.167175,-0.137115,0.249966,0.179178,-0.271271,0.415054,0.160290,-0.158741,0.335478,0.168684,-0.030903
241,0.669444,-0.005650,0.007179,0.007633,-0.999929,0.330343,0.168620,-0.149512,0.000000,0.320091,0.166960,-0.137131,0.815884,0.250358,0.178882,-0.271371,0.881115,0.415326,0.160129,-0.158644,0.916788,0.335596,0.168508,-0.030901,0.833655,0.320091,0.166960,-0.137131,0.250358,0.178882,-0.271371,0.415326,0.160129,-0.158644,0.335596,0.168508,-0.030901
242,0.672222,-0.004737,0.006855,0.007473,-0.999937,0.330268,0.168779,-0.149519,0.000000,0.320025,0.167139,-0.137128,0.967407,0.250199,0.178795,-0.271343,0.979099,0.415248,0.160298,-0.158692,0.995034,0.335599,0.168885,-0.030911,0.973792,0.320025,0.167139,-0.137128,0.250199,0.178795,-0.271343,0.415248,0.160298,-0.158692,0.335599,0.168885,-0.030911
243,0.675000,-0.003520,0.006451,0.007847,-0.999942,0.330272,0.169022,-0.149508,0.000000,0.320039,0.167419,-0.137105,0.891081,0.250110,0.178803,-0.271291,0.858140,0.415238,0.160454,-0.158731,0.905268,0.335703,0.169411,-0.030906,0.894785,0.320039,0.167419,-0.137105,0.250110,0.178803,-0.271291,0.415238,0.160454,-0.158731,0.335703,0.169411,-0.030906
244,0.677778,-0.005718,0.007266,0.007491,-0.999929,0.330125,0.168609,-0.149612,0.000000,0.319872,0.166944,-0.137233,0.891081,0.250159,0.178865,-0.271484,0.858140,0.415113,0.160143,-0.158730,0.905268,0.335357,0.168483,-0.031000,0.894785,0.319872,0.166944,-0.137233,0.250159,0.178865,-0.271484,0.415113,0.160143,-0.158730,0.335357,0.168483,-0.031000
245,0.680556,-0.005132,0.007167,0.007412,-0.999934,0.330314,0.168702,-0.149623,0.000000,0.320064,0.167051,-0.137240,0.897463,0.250321,0.178803,-0.271490,0.866882,0.415301,0.160239,-0.158749,0.909857,0.335571,0.168716,-0.031012,0.947002,0.320064,0.167051,-0.137240,0.250321,0.178803,-0.271490,0.415301,0.160239,-0.158749,0.335571,0.168716,-0.031012
246,0.683333,-0.006284,0.006645,0.007958,-0.999927,0.330140,0.168674,-0.149679,0.000000,0.319901,0.167005,-0.137289,0.949071,0.250032,0.179143,-0.271440,0.937248,0.415108,0.160141,-0.158912,0.915601,0.335519,0.168406,-0.031074,0.962307,0.319901,0.167005,-0.137289,0.250032,0.179143,-0.271440,0.415108,0.160141,-0.158912,0.335519,0.168406,-0.031074
247,0.686111,-0.003166,0.006698,0.009537,-0.999927,0.330356,0.168728,-0.149627,0.000000,0.320111,0.167169,-0.137228,0.949071,0.250286,0.178697,-0.271454,0.937248,0.415297,0.159866,-0.158803,0.915601,0.335731,0.169181,-0.031022,0.962307,0.320111,0.167169,-0.137228,0.250286,0.178697,-0.271454,0.415297,0.159866,-0.158803,0.335731,0.169181,-0.031022
248,0.688889,-0.002989,0.006316,0.009449,-0.999931,0.330267,0.168931,-0.149501,0.000000,0.320031,0.167374,-0.137094,0.911335,0.250101,0.178843,-0.271271,0.868512,0.415202,0.160081,-0.158740,0.850284,0.335732,0.169426,-0.030901,0.977342,0.320031,0.167374,-0.137094,0.250101,0.178843,-0.271271,0.415202,0.160081,-0.158740,0.335733,0.169426,-0.030901
249,0.691667,-0.005206,0.007026,0.009036,-0.999921,0.330102,0.168929,-0.149757,0.000000,0.319850,0.167309,-0.137371,0.911335,0.250106,0.179311,-0.271599,0.868512,0.415058,0.160191,-0.158910,0.850284,0.335394,0.168905,-0.031148,0.977342,0.319850,0.167309,-0.137371,0.250106,0.179311,-0.271599,0.415058,0.160191,-0.158910,0.335394,0.168905,-0.031148
250,0.694444,-0.004604,0.006942,0.008966,-0.999925,0.329979,0.169015,-0.149700,0.000000,0.319730,0.167408,-0.137311,0.817931,0.249960,0.179239,-0.271540,0.889146,0.414935,0.160278,-0.158858,0.922257,0.335293,0.169134,-0.031092,0.851785,0.319730,0.167408,-0.137311,0.249960,0.179239,-0.271540,0.414935,0.160278,-0.158858,0.335293,0.169134,-0.031092
251,0.697222,-0.004959,0.007419,0.007775,-0.999930,0.330095,0.169104,-0.149614,0.000000,0.319838,0.167465,-0.137235,0.928792,0.250170,0.179222,-0.271525,0.928377,0.415081,0.160576,-0.158695,0.978436,0.335293,0.169155,-0.031001,0.869534,0.319838,0.167465,-0.137235,0.250170,0.179222,-0.271525,0.415081,0.160576,-0.158695,0.335293,0.169155,-0.031001
252,0.700000,-0.005512,0.006144,0.008418,-0.999931,0.330172,0.168934,-0.149744,0.000000,0.319944,0.167293,-0.137342,0.928792,0.249950,0.179291,-0.271440,0.928377,0.415123,0.160309,-0.159052,0.978436,0.335672,0.168843,-0.031145,0.869534,0.319944,0.167293,-0.137342,0.249950,0.179291,-0.271440,0.415123,0.160309,-0.159052,0.335672,0.168843,-0.031145
253,0.702778,-0.005415,0.006560,0.008841,-0.999925,0.330145,0.168970,-0.149696,0.000000,0.319905,0.167341,-0.137301,0.924897,0.250032,0.179372,-0.271459,0.915198,0.415096,0.160270,-0.158931,0.874997,0.335547,0.168898,-0.031091,0.977293,0.319905,0.167341,-0.137301,0.250032,0.179372,-0.271459,0.415096,0.160270,-0.158931,0.335547,0.168898,-0.031091
254,0.705556,-0.006543,0.007803,0.006675,-0.999926,0.329921,0.168914,-0.149549,0.000000,0.319657,0.167213,-0.137185,0.901622,0.250071,0.179238,-0.271492,0.817433,0.414932,0.160603,-0.158588,0.912490,0.335023,0.168603,-0.030932,0.765448,0.319657,0.167213,-0.137185,0.250071,0.179238,-0.271492,0.414932,0.160603,-0.158588,0.335023,0.168603,-0.030932
255,0.708333,-0.005651,0.006295,0.008886,-0.999925,0.330180,0.168878,-0.149604,0.000000,0.319946,0.167243,-0.137205,0.901622,0.250004,0.179344,-0.271320,0.817433,0.415126,0.160176,-0.158888,0.912490,0.335644,0.168749,-0.031003,0.765448,0.319946,0.167243,-0.137205,0.250004,0.179344,-0.271320,0.415126,0.160176,-0.158888,0.335644,0.168749,-0.031003
256,0.711111,-0.006095,0.007540,0.008117,-0.999920,0.329976,0.168890,-0.149684,0.000000,0.319714,0.167230,-0.137312,0.909044,0.250090,0.179339,-0.271592,0.893652,0.414958,0.160326,-0.158763,0.932688,0.335144,0.168668,-0.031070,0.936183,0.319714,0.167230,-0.137312,0.250090,0.179339,-0.271592,0.414958,0.160326,-0.158763,0.335144,0.168668,-0.031070
257,0.713889,-0.004604,0.007414,0.008074,-0.999929,0.330144,0.169080,-0.149510,0.000000,0.319885,0.167455,-0.137131,0.909044,0.250222,0.179159,-0.271427,0.893652,0.415124,0.160494,-0.158587,0.932688,0.335344,0.169211,-0.030897,0.936183,0.319885,0.167455,-0.137131,0.250222,0.179159,-0.271427,0.415124,0.160494,-0.158587,0.335344,0.169211,-0.030897
258,0.716667,-0.005948,0.007223,0.007579,-0.999928,0.330052,0.169006,-0.149587,0.000000,0.319800,0.167338,-0.137208,0.985578,0.250077,0.179332,-0.271448,0.990672,0.415037,0.160531,-0.158717,0.978510,0.335294,0.168825,-0.030976,0.979356,0.319800,0.167338,-0.137208,0.250077,0.179332,-0.271448,0.415037,0.160531,-0.158717,0.335294,0.168825,-0.030976
259,0.719444,-0.004125,0.006527,0.009785,-0.999922,0.330143,0.169014,-0.149769,0.000000,0.319901,0.167435,-0.137369,0.992217,0.250038,0.179255,-0.271551,0.988988,0.415077,0.160129,-0.158990,0.997080,0.335557,0.169236,-0.031165,0.983748,0.319901,0.167435,-0.137369,0.250038,0.179255,-0.271551,0.415076,0.160129,-0.158990,0.335557,0.169236,-0.031165
260,0.722222,-0.005615,0.006970,0.008606,-0.999923,0.330087,0.168903,-0.149653,0.000000,0.319838,0.167263,-0.137267,0.992217,0.250070,0.179314,-0.271478,0.988988,0.415050,0.160246,-0.158821,0.997080,0.335391,0.168787,-0.031044,0.983748,0.319838,0.167263,-0.137267,0.250070,0.179314,-0.271478,0.415050,0.160246,-0.158821,0.335391,0.168787,-0.031044
261,0.725000,-0.005502,0.007044,0.007411,-0.999933,0.330262,0.168686,-0.149476,0.000000,0.320015,0.167026,-0.137092,0.884199,0.250239,0.178877,-0.271317,0.860948,0.415247,0.160231,-0.158629,0.856459,0.335547,0.168612,-0.030867,0.839300,0.320015,0.167026,-0.137092,0.250239,0.178877,-0.271317,0.415247,0.160231,-0.158629,0.335547,0.168612,-0.030867
262,0.727778,-0.002282,0.006442,0.009839,-0.999928,0.330355,0.168894,-0.149458,0.000000,0.320116,0.167363,-0.137051,0.896180,0.250226,0.178698,-0.271261,0.724619,0.415286,0.159964,-0.158664,0.891807,0.335793,0.169552,-0.030858,0.877679,0.320116,0.167363,-0.137051,0.250226,0.178698,-0.271261,0.415286,0.159964,-0.158664,0.335793,0.169552,-0.030858
263,0.730556,-0.006355,0.007379,0.006648,-0.999931,0.330205,0.168533,-0.149428,0.000000,0.319952,0.166836,-0.137053,0.896180,0.250251,0.178807,-0.271306,0.724619,0.415209,0.160223,-0.158536,0.891807,0.335409,0.168266,-0.030815,0.877679,0.319952,0.166836,-0.137053,0.250251,0.178807,-0.271306,0.415209,0.160223,-0.158536,0.335409,0.168266,-0.030815
264,0.733333,-0.003902,0.006175,0.008901,-0.999934,0.330337,0.168853,-0.149522,0.000000,0.320107,0.167262,-0.137114,0.935073,0.250129,0.178897,-0.271252,0.846295,0.415280,0.160114,-0.158799,0.960773,0.335834,0.169138,-0.030922,0.910169,0.320107,0.167262,-0.137114,0.250129,0.178897,-0.271252,0.415280,0.160114,-0.158799,0.335834,0.169138,-0.030922
265,0.736111,-0.005766,0.007028,0.006374,-0.999938,0.330357,0.168609,-0.149431,0.000000,0.320113,0.166921,-0.137047,0.935073,0.250312,0.178696,-0.271265,0.846295,0.415359,0.160335,-0.158589,0.960773,0.335645,0.168485,-0.030821,0.910169,0.320113,0.166921,-0.137047,0.250312,0.178696,-0.271265,0.415359,0.160335,-0.158589,0.335645,0.168485,-0.030821
266,0.738889,-0.007323,0.007285,0.007338,-0.999920,0.330185,0.168514,-0.149518,0.000000,0.319932,0.166807,-0.137145,0.935850,0.250223,0.179135,-0.271362,0.932951,0.415176,0.160106,-0.158658,0.893826,0.335410,0.168009,-0.030907,0.970454,0.319932,0.166807,-0.137145,0.250223,0.179135,-0.271362,0.415176,0.160106,-0.158658,0.335410,0.168009,-0.030907
267,0.741667,-0.006671,0.007633,0.007245,-0.999922,0.330275,0.168762,-0.149461,0.000000,0.320013,0.167069,-0.137093,0.928645,0.250395,0.179209,-0.271373,0.908601,0.415273,0.160357,-0.158532,0.879304,0.335418,0.168414,-0.030846,0.970880,0.320013,0.167069,-0.137093,0.250395,0.179209,-0.271373,0.415273,0.160357,-0.158532,0.335418,0.168414,-0.030846
268,0.744444,-0.003105,0.006836,0.009066,-0.999931,0.330286,0.168951,-0.149542,0.000000,0.320039,0.167384,-0.137145,0.928645,0.250240,0.178828,-0.271393,0.908601,0.415238,0.160168,-0.158694,0.879304,0.335628,0.169424,-0.030936,0.970880,0.320039,0.167384,-0.137145,0.250240,0.178828,-0.271393,0.415238,0.160168,-0.158694,0.335628,0.169424,-0.030936
269,0.747222,-0.003463,0.006503,0.008834,-0.999934,0.330347,0.168818,-0.149647,0.000000,0.320109,0.167237,-0.137245,0.910963,0.250217,0.178745,-0.271439,0.868992,0.415297,0.160081,-0.158861,0.850268,0.335767,0.169208,-0.031045,0.977513,0.320109,0.167237,-0.137245,0.250217,0.178745,-0.271439,0.415297,0.160081,-0.158861,0.335767,0.169208,-0.031045
270,0.750000,-0.006235,0.007768,0.006755,-0.999928,0.330357,0.168797,-0.149482,0.000000,0.320094,0.167105,-0.137115,0.910963,0.250500,0.179059,-0.271425,0.868992,0.415366,0.160466,-0.158522,0.850268,0.335469,0.168558,-0.030865,0.977513,0.320094,0.167105,-0.137115,0.250500,0.179059,-0.271425,0.415366,0.160466,-0.158522,0.335469,0.168558,-0.030865
271,0.752778,-0.004506,0.007538,0.006636,-0.999939,0.330375,0.168927,-0.149522,0.000000,0.320118,0.167276,-0.137145,0.910963,0.250457,0.178751,-0.271462,0.868992,0.415381,0.160584,-0.158575,0.850268,0.335543,0.169100,-0.030908,0.977513,0.320118,0.167276,-0.137145,0.250457,0.178751,-0.271462,0.415381,0.160584,-0.158575,0.335543,0.169100,-0.030908
272,0.755556,-0.005084,0.006595,0.009333,-0.999922,0.330420,0.168812,-0.149425,0.000000,0.320178,0.167201,-0.137030,0.943290,0.250325,0.179213,-0.271200,0.918005,0.415363,0.160023,-0.158650,0.966819,0.335815,0.168813,-0.030821,0.869185,0.320178,0.167201,-0.137030,0.250325,0.179213,-0.271200,0.415363,0.160023,-0.158650,0.335815,0.168813,-0.030821
273,0.758333,-0.005560,0.007437,0.006780,-0.999934,0.330202,0.168936,-0.149554,0.000000,0.319947,0.167261,-0.137178,0.943290,0.250264,0.179038,-0.271457,0.918005,0.415205,0.160588,-0.158640,0.966819,0.335393,0.168856,-0.030941,0.869185,0.319947,0.167261,-0.137178,0.250264,0.179038,-0.271457,0.415205,0.160588,-0.158640,0.335393,0.168856,-0.030941
274,0.761111,-0.005937,0.007173,0.007436,-0.999929,0.330123,0.168679,-0.149535,0.000000,0.319872,0.167008,-0.137155,0.951661,0.250133,0.178979,-0.271388,0.956507,0.415110,0.160227,-0.158672,0.983352,0.335377,0.168501,-0.030924,0.967503,0.319872,0.167008,-0.137155,0.250133,0.178979,-0.271388,0.415110,0.160227,-0.158672,0.335377,0.168501,-0.030924
275,0.763889,-0.004997,0.006848,0.008479,-0.999928,0.330316,0.168759,-0.149534,0.000000,0.320070,0.167133,-0.137144,0.899600,0.250265,0.179000,-0.271352,0.871102,0.415279,0.160113,-0.158713,0.913846,0.335650,0.168792,-0.030927,0.944462,0.320070,0.167133,-0.137144,0.250265,0.179000,-0.271352,0.415279,0.160113,-0.158713,0.335650,0.168792,-0.030927
276,0.766667,-0.004207,0.007267,0.008433,-0.999929,0.330160,0.168809,-0.149547,0.000000,0.319904,0.167202,-0.137163,0.899600,0.250209,0.178851,-0.271447,0.871102,0.415131,0.160155,-0.158643,0.913846,0.335396,0.169030,-0.030936,0.944462,0.319904,0.167202,-0.137163,0.250209,0.178851,-0.271447,0.415131,0.160155,-0.158643,0.335396,0.169030,-0.030936
277,0.769444,-0.004922,0.006450,0.009725,-0.999920,0.330388,0.168456,-0.149602,0.000000,0.320148,0.166856,-0.137203,0.837477,0.250264,0.178881,-0.271356,0.905988,0.415321,0.159596,-0.158848,0.913345,0.335818,0.168489,-0.030999,0.958527,0.320148,0.166856,-0.137203,0.250264,0.178881,-0.271356,0.415321,0.159596,-0.158848,0.335818,0.168489,-0.030999
278,0.772222,-0.005007,0.007601,0.006720,-0.999936,0.330321,0.168798,-0.149502,0.000000,0.320062,0.167136,-0.137128,0.837477,0.250421,0.178756,-0.271442,0.905988,0.415328,0.160450,-0.158552,0.913345,0.335474,0.168850,-0.030887,0.958527,0.320062,0.167136,-0.137128,0.250421,0.178756,-0.271442,0.415328,0.160450,-0.158552,0.335474,0.168850,-0.030887
279,0.775000,-0.003446,0.007146,0.009118,-0.999927,0.330231,0.168973,-0.149482,0.000000,0.319976,0.167398,-0.137093,0.890229,0.250262,0.178941,-0.271377,0.711191,0.415187,0.160187,-0.158587,0.894001,0.335498,0.169365,-0.030873,0.872445,0.319976,0.167398,-0.137093,0.250262,0.178941,-0.271377,0.415187,0.160187,-0.158587,0.335498,0.169365,-0.030873
280,0.777778,-0.004984,0.007371,0.008144,-0.999927,0.329985,0.168906,-0.149424,0.000000,0.319727,0.167273,-0.137045,0.908982,0.250055,0.179089,-0.271327,0.880207,0.414963,0.160315,-0.158514,0.855435,0.335195,0.168946,-0.030812,0.974031,0.319727,0.167273,-0.137045,0.250055,0.179089,-0.271327,0.414963,0.160315,-0.158514,0.335195,0.168946,-0.030812
281,0.780556,-0.006391,0.007719,0.007577,-0.999921,0.330114,0.168674,-0.149598,0.000000,0.319850,0.166994,-0.137231,0.908982,0.250261,0.179106,-0.271529,0.880207,0.415109,0.160206,-0.158650,0.855435,0.335238,0.168388,-0.030982,0.974031,0.319850,0.166994,-0.137231,0.250261,0.179106,-0.271529,0.415109,0.160206,-0.158650,0.335238,0.168388,-0.030982
282,0.783333,-0.002867,0.008151,0.010623,-0.999906,0.330176,0.168749,-0.149651,0.000000,0.319892,0.167220,-0.137281,0.819559,0.250480,0.178818,-0.271716,0.890932,0.415123,0.159696,-0.158577,0.922837,0.335209,0.169263,-0.031032,0.852775,0.319892,0.167220,-0.137281,0.250480,0.178818,-0.271716,0.415123,0.159696,-0.158577,0.335209,0.169263,-0.031032
283,0.786111,-0.004009,0.007804,0.008206,-0.999928,0.330227,0.168855,-0.149573,0.000000,0.319958,0.167247,-0.137199,0.813927,0.250402,0.178811,-0.271562,0.878584,0.415211,0.160234,-0.158573,0.907796,0.335336,0.169126,-0.030956,0.820103,0.319958,0.167247,-0.137199,0.250402,0.178811,-0.271562,0.415211,0.160234,-0.158573,0.335336,0.169126,-0.030956
284,0.788889,-0.006905,0.007620,0.006021,-0.999929,0.330225,0.168663,-0.149598,0.000000,0.319967,0.166939,-0.137231,0.813927,0.250318,0.178969,-0.271505,0.878584,0.415243,0.160470,-0.158673,0.907796,0.335370,0.168274,-0.030983,0.820103,0.319967,0.166939,-0.137231,0.250318,0.178969,-0.271505,0.415243,0.160470,-0.158673,0.335370,0.168274,-0.030983
285,0.791667,-0.005245,0.006393,0.007336,-0.999939,0.330356,0.168840,-0.149531,0.000000,0.320125,0.167184,-0.137133,0.904672,0.250173,0.178957,-0.271273,0.835131,0.415330,0.160393,-0.158791,0.864047,0.335796,0.168826,-0.030929,0.881593,0.320125,0.167184,-0.137133,0.250173,0.178957,-0.271273,0.415330,0.160393,-0.158791,0.335796,0.168826,-0.030929
286,0.794444,-0.004045,0.006950,0.008147,-0.999934,0.330391,0.168925,-0.149552,0.000000,0.320144,0.167316,-0.137161,0.904672,0.250358,0.178881,-0.271404,0.835131,0.415361,0.160316,-0.158698,0.864047,0.335703,0.169187,-0.030944,0.881593,0.320144,0.167316,-0.137161,0.250358,0.178881,-0.271404,0.415361,0.160316,-0.158698,0.335703,0.169187,-0.030944
287,0.797222,-0.002594,0.008536,0.007393,-0.999933,0.330082,0.169155,-0.149517,0.000000,0.319798,0.167566,-0.137153,0.938222,0.250418,0.178635,-0.271650,0.916456,0.415093,0.160645,-0.158370,0.865824,0.335018,0.169773,-0.030894,0.980788,0.319798,0.167566,-0.137153,0.250418,0.178635,-0.271650,0.415093,0.160645,-0.158370,0.335018,0.169773,-0.030894
288,0.800000,-0.005489,0.007030,0.009240,-0.999918,0.330369,0.168331,-0.149681,0.000000,0.320117,0.166708,-0.137297,0.880521,0.250379,0.178815,-0.271518,0.836158,0.415322,0.159565,-0.158838,0.892190,0.335660,0.168238,-0.031072,0.943608,0.320117,0.166708,-0.137297,0.250379,0.178815,-0.271518,0.415322,0.159565,-0.158838,0.335660,0.168238,-0.031072
289,0.802778,-0.003518,0.006951,0.008901,-0.999930,0.330228,0.168828,-0.149561,0.000000,0.319978,0.167247,-0.137168,0.880521,0.250208,0.178779,-0.271423,0.836158,0.415185,0.160081,-0.158700,0.892190,0.335541,0.169206,-0.030954,0.943608,0.319978,0.167247,-0.137168,0.250208,0.178779,-0.271423,0.415185,0.160081,-0.158700,0.335541,0.169206,-0.030954
290,0.805556,-0.006254,0.007630,0.007072,-0.999926,0.330273,0.168506,-0.149588,0.000000,0.320012,0.166820,-0.137219,0.986973,0.250388,0.178824,-0.271508,0.982506,0.415274,0.160122,-0.158652,0.997904,0.335417,0.168258,-0.030973,0.970891,0.320012,0.166820,-0.137219,0.250388,0.178824,-0.271508,0.415274,0.160122,-0.158652,0.335417,0.168258,-0.030973
291,0.808333,-0.005375,0.007040,0.007122,-0.999935,0.330423,0.168718,-0.149577,0.000000,0.320177,0.167054,-0.137193,0.865267,0.250394,0.178831,-0.271420,0.933251,0.415413,0.160308,-0.158729,0.922311,0.335710,0.168677,-0.030968,0.944476,0.320177,0.167054,-0.137193,0.250394,0.178831,-0.271420,0.415413,0.160308,-0.158729,0.335710,0.168677,-0.030968
292,0.811111,-0.004891,0.006351,0.008173,-0.999934,0.330283,0.168800,-0.149579,0.000000,0.320050,0.167170,-0.137179,0.865267,0.250105,0.178967,-0.271320,0.933251,0.415242,0.160204,-0.158841,0.922311,0.335735,0.168860,-0.030978,0.944476,0.320050,0.167170,-0.137179,0.250105,0.178967,-0.271320,0.415242,0.160204,-0.158841,0.335735,0.168860,-0.030978
293,0.813889,-0.006409,0.007246,0.007779,-0.999923,0.330228,0.168618,-0.149544,0.000000,0.319974,0.166942,-0.137167,0.967329,0.250263,0.179088,-0.271399,0.978275,0.415210,0.160117,-0.158677,0.994262,0.335464,0.168324,-0.030933,0.972369,0.319974,0.166942,-0.137167,0.250263,0.179088,-0.271399,0.415210,0.160117,-0.158677,0.335464,0.168324,-0.030933
294,0.816667,-0.006216,0.007341,0.006513,-0.999933,0.330209,0.168664,-0.149615,0.000000,0.319957,0.166968,-0.137239,0.967329,0.250243,0.178883,-0.271490,0.978275,0.415214,0.160375,-0.158727,0.994262,0.335422,0.168432,-0.031002,0.972369,0.319957,0.166968,-0.137239,0.250243,0.178883,-0.271490,0.415214,0.160375,-0.158727,0.335422,0.168432,-0.031002
295,0.819444,-0.006291,0.006582,0.007395,-0.999931,0.330176,0.168662,-0.149602,0.000000,0.319940,0.166981,-0.137211,0.911524,0.250042,0.179042,-0.271354,0.876838,0.415153,0.160225,-0.158846,0.876398,0.335569,0.168400,-0.030998,0.970728,0.319940,0.166981,-0.137211,0.250042,0.179042,-0.271354,0.415153,0.160225,-0.158846,0.335569,0.168400,-0.030998
