,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,front right triangle,front right triangle,front right triangle,front right triangle,front right triangle,front right triangle,front right triangle,front right triangle,"front right triangle:Marker1","front right triangle:Marker1","front right triangle:Marker1","front right triangle:Marker1","front right triangle:Marker2","front right triangle:Marker2","front right triangle:Marker2","front right triangle:Marker2","front right triangle:Marker3","front right triangle:Marker3","front right triangle:Marker3","front right triangle:Marker3","front right triangle:Marker4","front right triangle:Marker4","front right triangle:Marker4","front right triangle:Marker4",front right triangle:Marker1,front right triangle:Marker1,front right triangle:Marker1,front right triangle:Marker2,front right triangle:Marker2,front right triangle:Marker2,front right triangle:Marker3,front right triangle:Marker3,front right triangle:Marker3,front right triangle:Marker4,front right triangle:Marker4,front right triangle:Marker4
,,"64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","9469D7BF8C1D11E87C158CA0568DC94","9469D7BF8C1D11E87C158CA0568DC94","9469D7BF8C1D11E87C158CA0568DC94","9469D7C08C1D11E87C158CA0568DC94","9469D7C08C1D11E87C158CA0568DC94","9469D7C08C1D11E87C158CA0568DC94","9469D7C18C1D11E87C158CA0568DC94","9469D7C18C1D11E87C158CA0568DC94","9469D7C18C1D11E87C158CA0568DC94","9469D7C28C1D11E87C158CA0568DC94","9469D7C28C1D11E87C158CA0568DC94","9469D7C28C1D11E87C158CA0568DC94"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
7,0.019444,-0.004727,0.007448,0.008232,-0.999927,0.330275,0.168719,-0.149562,0.000000,0.320015,0.167094,-0.137183,0.863004,0.250365,0.178854,-0.271481,0.930659,0.415253,0.160108,-0.158635,0.928546,0.335467,0.168819,-0.030948,0.945003,0.320015,0.167094,-0.137183,0.250365,0.178854,-0.271481,0.415253,0.160108,-0.158635,0.335467,0.168819,-0.030948
8,0.022222,-0.004880,0.006421,0.008797,-0.999929,0.330217,0.168685,-0.149635,0.000000,0.319980,0.167068,-0.137236,0.863004,0.250068,0.178950,-0.271387,0.930659,0.415166,0.159982,-0.158886,0.928546,0.335652,0.168740,-0.031033,0.945003,0.319980,0.167068,-0.137236,0.250068,0.178950,-0.271387,0.415166,0.159982,-0.158886,0.335652,0.168740,-0.031033
9,0.025000,-0.004426,0.007611,0.008426,-0.999926,0.329985,0.168814,-0.149598,0.000000,0.319721,0.167201,-0.137222,0.863004,0.250119,0.178907,-0.271549,0.930659,0.414963,0.160164,-0.158638,0.928546,0.335139,0.168983,-0.030983,0.945003,0.319721,0.167201,-0.137222,0.250119,0.178907,-0.271549,0.414963,0.160164,-0.158638,0.335139,0.168983,-0.030983
10,0.027778,-0.001869,0.006660,0.011326,-0.999912,0.330319,0.168820,-0.149628,0.000000,0.320070,0.167329,-0.137224,0.888801,0.250270,0.178763,-0.271472,0.861189,0.415226,0.159629,-0.158791,0.882106,0.335709,0.169558,-0.031026,0.885229,0.320070,0.167329,-0.137224,0.250270,0.178763,-0.271472,0.415226,0.159629,-0.158791,0.335709,0.169558,-0.031026
11,0.030556,-0.005318,0.006426,0.008272,-0.999931,0.330219,0.168634,-0.149605,0.000000,0.319984,0.166995,-0.137207,0.888801,0.250062,0.178920,-0.271349,0.861189,0.415178,0.160029,-0.158861,0.882106,0.335652,0.168591,-0.031002,0.885229,0.319984,0.166995,-0.137207,0.250062,0.178920,-0.271349,0.415178,0.160029,-0.158861,0.335652,0.168591,-0.031002
12,0.033333,-0.006182,0.006410,0.009040,-0.999919,0.330177,0.168414,-0.149556,0.000000,0.319940,0.166770,-0.137161,0.869689,0.250033,0.179034,-0.271280,0.826185,0.415122,0.159696,-0.158829,0.837987,0.335613,0.168157,-0.030953,0.893514,0.319940,0.166770,-0.137161,0.250033,0.179034,-0.271280,0.415122,0.159696,-0.158829,0.335613,0.168157,-0.030953
13,0.036111,-0.003887,0.006383,0.009210,-0.999930,0.330168,0.168998,-0.149621,0.000000,0.319931,0.167414,-0.137218,0.869689,0.250015,0.179089,-0.271385,0.826185,0.415109,0.160206,-0.158862,0.837987,0.335615,0.169283,-0.031019,0.893514,0.319931,0.167414,-0.137218,0.250015,0.179089,-0.271385,0.415109,0.160206,-0.158862,0.335615,0.169283,-0.031019
14,0.038889,-0.003175,0.007691,0.007736,-0.999936,0.330013,0.169129,-0.149574,0.000000,0.319749,0.167533,-0.137195,0.869689,0.250150,0.178806,-0.271561,0.826185,0.415003,0.160572,-0.158581,0.837987,0.335149,0.169603,-0.030959,0.893514,0.319749,0.167533,-0.137195,0.250150,0.178806,-0.271561,0.415003,0.160572,-0.158581,0.335149,0.169603,-0.030959
15,0.041667,-0.006307,0.008348,0.005912,-0.999928,0.330001,0.168716,-0.149512,0.000000,0.319726,0.167005,-0.137157,0.895884,0.250270,0.178859,-0.271547,0.863700,0.415035,0.160529,-0.158453,0.871186,0.334974,0.168471,-0.030889,0.847923,0.319726,0.167005,-0.137157,0.250270,0.178859,-0.271547,0.415035,0.160529,-0.158453,0.334974,0.168471,-0.030889
16,0.044444,-0.005668,0.007820,0.007217,-0.999927,0.330086,0.168520,-0.149481,0.000000,0.319820,0.166851,-0.137113,0.895884,0.250249,0.178719,-0.271443,0.863700,0.415088,0.160100,-0.158504,0.871186,0.335186,0.168410,-0.030863,0.847923,0.319820,0.166851,-0.137113,0.250249,0.178719,-0.271443,0.415088,0.160100,-0.158504,0.335186,0.168410,-0.030863
17,0.047222,-0.003803,0.007260,0.008374,-0.999931,0.330413,0.168571,-0.149593,0.000000,0.320157,0.166972,-0.137208,0.927087,0.250458,0.178505,-0.271500,0.856888,0.415384,0.159918,-0.158683,0.802692,0.335651,0.168888,-0.030982,0.898956,0.320157,0.166972,-0.137208,0.250458,0.178505,-0.271500,0.415384,0.159918,-0.158683,0.335651,0.168888,-0.030982
18,0.050000,-0.006181,0.007811,0.006142,-0.999932,0.330166,0.168405,-0.149597,0.000000,0.319903,0.166702,-0.137231,0.891412,0.250307,0.178555,-0.271549,0.793236,0.415186,0.160178,-0.158629,0.829770,0.335266,0.168186,-0.030980,0.854150,0.319903,0.166702,-0.137231,0.250307,0.178555,-0.271549,0.415186,0.160178,-0.158629,0.335266,0.168186,-0.030980
19,0.052778,-0.006288,0.007523,0.007147,-0.999926,0.330253,0.168268,-0.149733,0.000000,0.319994,0.166582,-0.137361,0.891412,0.250343,0.178606,-0.271635,0.793236,0.415251,0.159872,-0.158816,0.829770,0.335423,0.168011,-0.031119,0.854150,0.319994,0.166582,-0.137361,0.250343,0.178606,-0.271635,0.415251,0.159872,-0.158816,0.335423,0.168011,-0.031119
20,0.055556,-0.005471,0.006824,0.007767,-0.999932,0.330393,0.168469,-0.149522,0.000000,0.320150,0.166817,-0.137133,0.973634,0.250323,0.178711,-0.271328,0.985590,0.415367,0.159953,-0.158712,0.997396,0.335731,0.168398,-0.030915,0.984935,0.320150,0.166817,-0.137133,0.250323,0.178711,-0.271328,0.415367,0.159953,-0.158712,0.335731,0.168398,-0.030915
