Format Version,1.22,Take Name,day 2 front left triangle,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-07-20 09.07.29.815 AM,Total Frames in Take,1516,Total Exported Frames,1516,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.016667,0.005686,0.109360,0.026955,-0.993620,0.233201,0.168335,-2.694822,0.000000,0.220594,0.167405,-2.684755,0.816160,0.180049,0.178185,-2.830581,0.907129,0.317837,0.156421,-2.686309,0.907829,0.214323,0.171328,-2.577644,0.832934,0.220594,0.167405,-2.684755,0.180049,0.178185,-2.830581,0.317837,0.156421,-2.686309,0.214323,0.171328,-2.577644,,,,,,,,,,,,,,,,,,,,,
7,0.019444,0.004953,0.109177,0.025976,-0.993670,0.233305,0.168253,-2.694874,0.000000,0.220704,0.167284,-2.684804,0.964833,0.180085,0.178162,-2.830602,0.969212,0.317969,0.156507,-2.686405,0.966964,0.214461,0.171060,-2.577686,0.963792,0.220704,0.167284,-2.684804,0.180085,0.178162,-2.830602,0.317969,0.156507,-2.686405,0.214461,0.171060,-2.577686,,,,,,,,,,,,,,,,,,,,,
8,0.022222,0.004678,0.108985,0.026627,-0.993676,0.233275,0.168154,-2.694879,0.000000,0.220676,0.167193,-2.684805,0.964833,0.180018,0.178223,-2.830580,0.969212,0.317927,0.156297,-2.686449,0.966964,0.214478,0.170902,-2.577681,0.963792,0.220676,0.167193,-2.684805,0.180018,0.178223,-2.830580,0.317927,0.156297,-2.686449,0.214478,0.170902,-2.577681,,,,,,,,,,,,,,,,,,,,,
9,0.025000,0.005619,0.109019,0.027073,-0.993655,0.233175,0.168537,-2.694798,0.000000,0.220575,0.167608,-2.684723,0.964833,0.179933,0.178423,-2.830519,0.969212,0.317814,0.156603,-2.686345,0.966964,0.214378,0.171514,-2.577606,0.963792,0.220575,0.167608,-2.684723,0.179933,0.178423,-2.830519,0.317814,0.156603,-2.686345,0.214378,0.171514,-2.577606,,,,,,,,,,,,,,,,,,,,,
10,0.027778,0.005819,0.109167,0.027522,-0.993625,0.233194,0.168408,-2.694820,0.000000,0.220591,0.167494,-2.684748,0.919809,0.180001,0.178302,-2.830559,0.932969,0.317820,0.156397,-2.686337,0.970340,0.214365,0.171439,-2.577634,0.866274,0.220591,0.167494,-2.684748,0.180001,0.178302,-2.830559,0.317820,0.156397,-2.686337,0.214365,0.171439,-2.577634,,,,,,,,,,,,,,,,,,,,,
11,0.030556,0.005846,0.108681,0.027687,-0.993674,0.233239,0.168412,-2.694795,0.000000,0.220645,0.167502,-2.684711,0.919809,0.179917,0.178325,-2.830482,0.932969,0.317868,0.156372,-2.686395,0.970340,0.214525,0.171447,-2.577591,0.866274,0.220645,0.167502,-2.684711,0.179917,0.178325,-2.830482,0.317868,0.156372,-2.686395,0.214525,0.171447,-2.577591,,,,,,,,,,,,,,,,,,,,,
12,0.033333,0.005588,0.109318,0.025914,-0.993653,0.233257,0.168473,-2.694729,0.000000,0.220654,0.167517,-2.684661,0.913376,0.180072,0.178208,-2.830483,0.903078,0.317919,0.156736,-2.686224,0.915927,0.214385,0.171430,-2.577549,0.852641,0.220654,0.167517,-2.684661,0.180072,0.178208,-2.830483,0.317919,0.156736,-2.686224,0.214385,0.171430,-2.577549,,,,,,,,,,,,,,,,,,,,,
13,0.036111,0.005139,0.109675,0.026296,-0.993606,0.233199,0.168389,-2.694717,0.000000,0.220587,0.167432,-2.684659,0.802251,0.180121,0.178289,-2.830501,0.874818,0.317846,0.156588,-2.686159,0.851622,0.214241,0.171247,-2.577548,0.821358,0.220587,0.167432,-2.684659,0.180121,0.178289,-2.830501,0.317846,0.156588,-2.686159,0.214241,0.171247,-2.577548,,,,,,,,,,,,,,,,,,,,,
14,0.038889,0.005428,0.109462,0.026040,-0.993635,0.233301,0.168397,-2.694774,0.000000,0.220694,0.167440,-2.684710,0.802251,0.180158,0.178189,-2.830541,0.874818,0.317957,0.156639,-2.686248,0.851622,0.214394,0.171319,-2.577599,0.821358,0.220694,0.167440,-2.684710,0.180158,0.178189,-2.830541,0.317957,0.156639,-2.686248,0.214394,0.171319,-2.577599,,,,,,,,,,,,,,,,,,,,,
15,0.041667,0.006226,0.109155,0.027391,-0.993628,0.233088,0.168510,-2.694782,0.000000,0.220485,0.167602,-2.684709,0.956449,0.179887,0.178281,-2.830527,0.947781,0.317716,0.156521,-2.686294,0.939522,0.214264,0.171635,-2.577598,0.875428,0.220485,0.167602,-2.684709,0.179887,0.178281,-2.830527,0.317716,0.156521,-2.686294,0.214264,0.171635,-2.577598,,,,,,,,,,,,,,,,,,,,,
