Format Version,1.22,Take Name,day 2 front left triangle,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-07-20 09.07.29.815 AM,Total Frames in Take,1516,Total Exported Frames,1516,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
274,0.761111,0.004889,0.108629,0.027545,-0.993689,0.233197,0.168266,-2.694766,0.000000,0.220604,0.167331,-2.684682,0.967198,0.179863,0.178407,-2.830431,0.963742,0.317833,0.156252,-2.686393,0.964072,0.214489,0.171073,-2.577555,0.959171,0.220604,0.167331,-2.684682,0.179863,0.178407,-2.830431,0.317833,0.156252,-2.686393,0.214489,0.171073,-2.577555,,,,,,,,,,,,,,,,,,,,,
275,0.763889,0.006466,0.109544,0.026905,-0.993597,0.233175,0.168485,-2.694762,0.000000,0.220565,0.167571,-2.684697,0.814273,0.180069,0.178125,-2.830553,0.905132,0.317808,0.156578,-2.686202,0.910807,0.214259,0.171664,-2.577594,0.817079,0.220565,0.167571,-2.684697,0.180069,0.178125,-2.830553,0.317808,0.156578,-2.686202,0.214259,0.171664,-2.577594,,,,,,,,,,,,,,,,,,,,,
276,0.766667,0.004791,0.109288,0.026162,-0.993654,0.233323,0.168208,-2.694837,0.000000,0.220720,0.167240,-2.684770,0.814273,0.180139,0.178183,-2.830574,0.905132,0.317981,0.156431,-2.686352,0.910807,0.214454,0.170980,-2.577652,0.817079,0.220720,0.167240,-2.684770,0.180139,0.178183,-2.830574,0.317981,0.156431,-2.686352,0.214454,0.170980,-2.577652,,,,,,,,,,,,,,,,,,,,,
277,0.769444,0.004291,0.108132,0.027274,-0.993753,0.233283,0.168330,-2.694833,0.000000,0.220700,0.167375,-2.684739,0.918773,0.179810,0.178593,-2.830436,0.918364,0.317935,0.156364,-2.686557,0.969026,0.214687,0.170989,-2.577602,0.850710,0.220700,0.167375,-2.684739,0.179810,0.178593,-2.830436,0.317935,0.156364,-2.686557,0.214687,0.170989,-2.577602,,,,,,,,,,,,,,,,,,,,,
278,0.772222,0.004434,0.109086,0.025831,-0.993687,0.233272,0.168289,-2.694880,0.000000,0.220673,0.167304,-2.684808,0.918773,0.180027,0.178312,-2.830589,0.918364,0.317942,0.156568,-2.686436,0.969026,0.214447,0.170970,-2.577685,0.850710,0.220673,0.167304,-2.684808,0.180027,0.178312,-2.830589,0.317942,0.156568,-2.686436,0.214447,0.170970,-2.577685,,,,,,,,,,,,,,,,,,,,,
279,0.775000,0.005263,0.108987,0.027034,-0.993662,0.233201,0.168425,-2.694756,0.000000,0.220602,0.167487,-2.684680,0.928078,0.179951,0.178398,-2.830467,0.935740,0.317842,0.156498,-2.686315,0.976820,0.214409,0.171316,-2.577561,0.861664,0.220602,0.167487,-2.684680,0.179951,0.178398,-2.830467,0.317842,0.156498,-2.686315,0.214409,0.171316,-2.577561,,,,,,,,,,,,,,,,,,,,,
280,0.777778,0.006584,0.109313,0.028404,-0.993580,0.233243,0.168426,-2.694792,0.000000,0.220635,0.167550,-2.684722,0.853504,0.180105,0.178241,-2.830559,0.955832,0.317843,0.156264,-2.686271,0.924863,0.214388,0.171649,-2.577616,0.936795,0.220635,0.167550,-2.684722,0.180105,0.178241,-2.830559,0.317843,0.156264,-2.686271,0.214388,0.171649,-2.577616,,,,,,,,,,,,,,,,,,,,,
281,0.780556,0.005619,0.108979,0.027350,-0.993652,0.233178,0.168443,-2.694812,0.000000,0.220578,0.167521,-2.684736,0.853504,0.179931,0.178367,-2.830528,0.955832,0.317811,0.156462,-2.686365,0.924863,0.214391,0.171423,-2.577618,0.936795,0.220578,0.167521,-2.684736,0.179931,0.178367,-2.830528,0.317811,0.156462,-2.686365,0.214391,0.171423,-2.577618,,,,,,,,,,,,,,,,,,,,,
282,0.783333,0.005437,0.109010,0.027290,-0.993651,0.233165,0.168372,-2.694787,0.000000,0.220565,0.167444,-2.684711,0.822316,0.179926,0.178334,-2.830503,0.906650,0.317799,0.156401,-2.686338,0.924598,0.214369,0.171308,-2.577593,0.820470,0.220565,0.167444,-2.684711,0.179926,0.178334,-2.830503,0.317799,0.156401,-2.686338,0.214369,0.171308,-2.577593,,,,,,,,,,,,,,,,,,,,,
283,0.786111,0.005302,0.108702,0.027230,-0.993687,0.233154,0.168485,-2.694772,0.000000,0.220560,0.167553,-2.684690,0.817148,0.179831,0.178477,-2.830454,0.912353,0.317796,0.156525,-2.686379,0.913933,0.214430,0.171387,-2.577567,0.833568,0.220560,0.167553,-2.684690,0.179831,0.178477,-2.830454,0.317796,0.156525,-2.686379,0.214430,0.171387,-2.577567,,,,,,,,,,,,,,,,,,,,,
284,0.788889,0.006120,0.108842,0.027941,-0.993647,0.233201,0.168452,-2.694813,0.000000,0.220603,0.167554,-2.684732,0.817148,0.179927,0.178328,-2.830522,0.912353,0.317821,0.156369,-2.686381,0.913933,0.214452,0.171556,-2.577616,0.833568,0.220603,0.167554,-2.684732,0.179927,0.178328,-2.830522,0.317821,0.156369,-2.686381,0.214452,0.171556,-2.577616,,,,,,,,,,,,,,,,,,,,,
285,0.791667,0.005096,0.108844,0.027138,-0.993675,0.233165,0.168274,-2.694849,0.000000,0.220569,0.167334,-2.684771,0.969162,0.179880,0.178305,-2.830542,0.975126,0.317807,0.156329,-2.686435,0.970392,0.214406,0.171126,-2.577648,0.955452,0.220569,0.167334,-2.684771,0.179880,0.178305,-2.830542,0.317807,0.156329,-2.686435,0.214406,0.171126,-2.577648,,,,,,,,,,,,,,,,,,,,,
286,0.794444,0.005840,0.109326,0.027114,-0.993619,0.233210,0.168327,-2.694854,0.000000,0.220604,0.167404,-2.684786,0.969162,0.180052,0.178160,-2.830611,0.975126,0.317843,0.156386,-2.686344,0.970392,0.214342,0.171359,-2.577675,0.955452,0.220604,0.167404,-2.684786,0.180052,0.178160,-2.830611,0.317843,0.156386,-2.686344,0.214342,0.171359,-2.577675,,,,,,,,,,,,,,,,,,,,,
287,0.797222,0.005739,0.108908,0.027824,-0.993646,0.233232,0.168458,-2.694824,0.000000,0.220633,0.167549,-2.684745,0.829881,0.179975,0.178416,-2.830534,0.912779,0.317855,0.156395,-2.686388,0.927019,0.214464,0.171471,-2.577628,0.838474,0.220633,0.167549,-2.684745,0.179975,0.178416,-2.830534,0.317855,0.156395,-2.686388,0.214464,0.171471,-2.577628,,,,,,,,,,,,,,,,,,,,,
288,0.800000,0.006050,0.109637,0.027400,-0.993576,0.233200,0.168432,-2.694787,0.000000,0.220588,0.167520,-2.684726,0.828981,0.180132,0.178246,-2.830581,0.901266,0.317820,0.156442,-2.686219,0.909366,0.214262,0.171519,-2.577620,0.826321,0.220588,0.167520,-2.684726,0.180132,0.178246,-2.830581,0.317820,0.156442,-2.686219,0.214262,0.171519,-2.577620,,,,,,,,,,,,,,,,,,,,,
289,0.802778,0.005307,0.109498,0.025820,-0.993637,0.233186,0.168411,-2.694786,0.000000,0.220579,0.167447,-2.684723,0.828981,0.180049,0.178205,-2.830555,0.901266,0.317848,0.156692,-2.686255,0.909366,0.214269,0.171302,-2.577611,0.826321,0.220579,0.167447,-2.684723,0.180049,0.178205,-2.830555,0.317848,0.156692,-2.686255,0.214269,0.171302,-2.577611,,,,,,,,,,,,,,,,,,,,,
290,0.805556,0.005418,0.108983,0.027417,-0.993651,0.233146,0.168497,-2.694777,0.000000,0.220547,0.167572,-2.684701,0.920856,0.179903,0.178483,-2.830490,0.932873,0.317778,0.156505,-2.686334,0.969996,0.214358,0.171430,-2.577583,0.866256,0.220547,0.167572,-2.684701,0.179903,0.178483,-2.830490,0.317778,0.156505,-2.686334,0.214358,0.171430,-2.577583,,,,,,,,,,,,,,,,,,,,,
291,0.808333,0.004705,0.108569,0.026731,-0.993718,0.233269,0.168380,-2.694802,0.000000,0.220679,0.167422,-2.684718,0.923151,0.179902,0.178459,-2.830460,0.925528,0.317926,0.156505,-2.686443,0.968847,0.214571,0.171133,-2.577589,0.847381,0.220679,0.167422,-2.684718,0.179902,0.178459,-2.830460,0.317926,0.156505,-2.686443,0.214571,0.171133,-2.577589,,,,,,,,,,,,,,,,,,,,,
292,0.811111,0.005186,0.108775,0.027046,-0.993685,0.233180,0.168430,-2.694689,0.000000,0.220585,0.167490,-2.684608,0.923151,0.179873,0.178426,-2.830376,0.925528,0.317825,0.156501,-2.686285,0.968847,0.214437,0.171302,-2.577485,0.847381,0.220585,0.167490,-2.684608,0.179873,0.178426,-2.830376,0.317825,0.156501,-2.686285,0.214437,0.171302,-2.577485,,,,,,,,,,,,,,,,,,,,,
293,0.813889,0.005182,0.109027,0.025904,-0.993688,0.233225,0.168364,-2.694788,0.000000,0.220627,0.167399,-2.684713,0.924546,0.179961,0.178205,-2.830503,0.928825,0.317892,0.156630,-2.686340,0.969766,0.214418,0.171224,-2.577595,0.865974,0.220627,0.167399,-2.684713,0.179961,0.178205,-2.830503,0.317892,0.156630,-2.686340,0.214418,0.171224,-2.577595,,,,,,,,,,,,,,,,,,,,,
294,0.816667,0.004667,0.109194,0.026557,-0.993655,0.233349,0.168207,-2.694889,0.000000,0.220747,0.167245,-2.684820,0.924546,0.180148,0.178268,-2.830613,0.928825,0.318000,0.156363,-2.686423,0.969766,0.214502,0.170954,-2.577699,0.865974,0.220747,0.167245,-2.684820,0.180148,0.178268,-2.830613,0.318000,0.156363,-2.686423,0.214502,0.170954,-2.577699,,,,,,,,,,,,,,,,,,,,,
295,0.819444,0.004944,0.108859,0.026987,-0.993678,0.233159,0.168343,-2.694873,0.000000,0.220562,0.167397,-2.684796,0.925124,0.179875,0.178393,-2.830566,0.936896,0.317804,0.156425,-2.686460,0.977408,0.214394,0.171158,-2.577672,0.869116,0.220562,0.167397,-2.684796,0.179875,0.178393,-2.830566,0.317804,0.156425,-2.686460,0.214394,0.171158,-2.577672,,,,,,,,,,,,,,,,,,,,,
296,0.822222,0.003611,0.108194,0.026024,-0.993783,0.233297,0.168230,-2.694840,0.000000,0.220715,0.167231,-2.684749,0.924245,0.179816,0.178498,-2.830439,0.928835,0.317979,0.156477,-2.686565,0.968638,0.214676,0.170713,-2.577609,0.864419,0.220715,0.167231,-2.684749,0.179816,0.178498,-2.830439,0.317979,0.156477,-2.686565,0.214676,0.170713,-2.577609,,,,,,,,,,,,,,,,,,,,,
297,0.825000,0.005434,0.108812,0.028090,-0.993650,0.233182,0.168224,-2.694836,0.000000,0.220585,0.167314,-2.684757,0.924245,0.179908,0.178298,-2.830531,0.928835,0.317801,0.156117,-2.686423,0.968638,0.214437,0.171168,-2.577636,0.864419,0.220585,0.167314,-2.684757,0.179908,0.178298,-2.830531,0.317801,0.156117,-2.686423,0.214437,0.171168,-2.577636,,,,,,,,,,,,,,,,,,,,,
298,0.827778,0.005858,0.109101,0.028754,-0.993597,0.233105,0.168336,-2.694814,0.000000,0.220501,0.167451,-2.684741,0.924417,0.179922,0.178388,-2.830546,0.928169,0.317702,0.156116,-2.686344,0.966912,0.214297,0.171390,-2.577626,0.863537,0.220501,0.167451,-2.684741,0.179922,0.178388,-2.830546,0.317702,0.156116,-2.686344,0.214297,0.171390,-2.577626,,,,,,,,,,,,,,,,,,,,,
299,0.830556,0.005656,0.109225,0.027474,-0.993621,0.233206,0.168373,-2.694735,0.000000,0.220602,0.167454,-2.684665,0.919183,0.180029,0.178303,-2.830478,0.925250,0.317832,0.156371,-2.686246,0.961769,0.214362,0.171365,-2.577551,0.844645,0.220602,0.167454,-2.684665,0.180029,0.178303,-2.830478,0.317832,0.156371,-2.686246,0.214362,0.171365,-2.577551,,,,,,,,,,,,,,,,,,,,,
300,0.833333,0.005872,0.109396,0.028118,-0.993583,0.233152,0.168330,-2.694793,0.000000,0.220543,0.167431,-2.684727,0.919183,0.180035,0.178290,-2.830558,0.925250,0.317760,0.156218,-2.686271,0.961769,0.214272,0.171382,-2.577617,0.844645,0.220543,0.167431,-2.684727,0.180035,0.178290,-2.830558,0.317760,0.156218,-2.686271,0.214272,0.171382,-2.577617,,,,,,,,,,,,,,,,,,,,,
301,0.836111,0.005736,0.108986,0.026928,-0.993662,0.233286,0.168377,-2.694772,0.000000,0.220687,0.167447,-2.684695,0.810071,0.180031,0.178214,-2.830492,0.907458,0.317929,0.156467,-2.686322,0.911484,0.214497,0.171380,-2.577580,0.818421,0.220687,0.167447,-2.684695,0.180031,0.178214,-2.830492,0.317929,0.156467,-2.686322,0.214497,0.171380,-2.577580,,,,,,,,,,,,,,,,,,,,,
302,0.838889,0.004973,0.108911,0.026869,-0.993676,0.233061,0.168382,-2.694766,0.000000,0.220463,0.167434,-2.684689,0.810071,0.179788,0.178408,-2.830464,0.907458,0.317708,0.156484,-2.686342,0.911484,0.214284,0.171203,-2.577567,0.818421,0.220463,0.167434,-2.684689,0.179788,0.178408,-2.830464,0.317708,0.156484,-2.686342,0.214284,0.171203,-2.577567,,,,,,,,,,,,,,,,,,,,,
303,0.841667,0.005292,0.109563,0.026657,-0.993608,0.233148,0.168367,-2.694842,0.000000,0.220537,0.167421,-2.684781,0.920381,0.180046,0.178277,-2.830616,0.928533,0.317788,0.156505,-2.686301,0.968636,0.214218,0.171265,-2.577670,0.845358,0.220537,0.167421,-2.684781,0.180046,0.178277,-2.830616,0.317788,0.156505,-2.686301,0.214218,0.171265,-2.577670,,,,,,,,,,,,,,,,,,,,,
304,0.844444,0.005571,0.109132,0.026706,-0.993653,0.233112,0.168530,-2.694776,0.000000,0.220511,0.167591,-2.684703,0.890520,0.179893,0.178378,-2.830509,0.947523,0.317758,0.156658,-2.686304,0.944793,0.214287,0.171492,-2.577588,0.929152,0.220511,0.167591,-2.684703,0.179893,0.178378,-2.830509,0.317758,0.156658,-2.686304,0.214287,0.171492,-2.577588,,,,,,,,,,,,,,,,,,,,,
305,0.847222,0.005102,0.108945,0.026228,-0.993689,0.233288,0.168310,-2.694865,0.000000,0.220692,0.167350,-2.684788,0.890520,0.180010,0.178215,-2.830570,0.947523,0.317950,0.156520,-2.686433,0.944793,0.214502,0.171154,-2.577668,0.929152,0.220692,0.167350,-2.684788,0.180010,0.178215,-2.830570,0.317950,0.156520,-2.686433,0.214502,0.171154,-2.577668,,,,,,,,,,,,,,,,,,,,,
306,0.850000,0.005004,0.109167,0.026447,-0.993659,0.233158,0.168429,-2.694762,0.000000,0.220557,0.167472,-2.684692,0.929605,0.179946,0.178388,-2.830490,0.936524,0.317811,0.156603,-2.686295,0.975390,0.214320,0.171254,-2.577574,0.862996,0.220557,0.167472,-2.684692,0.179946,0.178388,-2.830490,0.317811,0.156603,-2.686295,0.214320,0.171254,-2.577574,,,,,,,,,,,,,,,,,,,,,
307,0.852778,0.005070,0.108734,0.026655,-0.993701,0.233154,0.168519,-2.694700,0.000000,0.220561,0.167568,-2.684618,0.830433,0.179828,0.178493,-2.830381,0.907705,0.317809,0.156657,-2.686305,0.927889,0.214419,0.171359,-2.577494,0.835135,0.220561,0.167568,-2.684618,0.179828,0.178493,-2.830381,0.317809,0.156657,-2.686305,0.214419,0.171359,-2.577494,,,,,,,,,,,,,,,,,,,,,
308,0.855556,0.004555,0.108599,0.026545,-0.993721,0.233211,0.168383,-2.694788,0.000000,0.220621,0.167418,-2.684704,0.830433,0.179848,0.178476,-2.830446,0.907705,0.317872,0.156540,-2.686426,0.927889,0.214504,0.171099,-2.577575,0.835135,0.220621,0.167418,-2.684704,0.179848,0.178476,-2.830446,0.317872,0.156540,-2.686426,0.214504,0.171099,-2.577575,,,,,,,,,,,,,,,,,,,,,
309,0.858333,0.006045,0.109152,0.027927,-0.993614,0.233174,0.168431,-2.694725,0.000000,0.220570,0.167531,-2.684652,0.919668,0.179985,0.178322,-2.830466,0.925783,0.317790,0.156351,-2.686241,0.963515,0.214352,0.171520,-2.577540,0.846573,0.220570,0.167531,-2.684652,0.179985,0.178322,-2.830466,0.317790,0.156351,-2.686241,0.214352,0.171520,-2.577540,,,,,,,,,,,,,,,,,,,,,
310,0.861111,0.005917,0.108697,0.029334,-0.993625,0.233061,0.168422,-2.694706,0.000000,0.220463,0.167551,-2.684623,0.919668,0.179779,0.178540,-2.830395,0.925783,0.317650,0.156102,-2.686304,0.963515,0.214350,0.171494,-2.577503,0.846573,0.220463,0.167551,-2.684623,0.179779,0.178540,-2.830395,0.317650,0.156102,-2.686304,0.214350,0.171494,-2.577503,,,,,,,,,,,,,,,,,,,,,
311,0.863889,0.004947,0.108919,0.026260,-0.993692,0.233270,0.168441,-2.694705,0.000000,0.220674,0.167478,-2.684629,0.818807,0.179986,0.178392,-2.830405,0.909259,0.317932,0.156647,-2.686281,0.910517,0.214489,0.171249,-2.577507,0.834910,0.220674,0.167478,-2.684629,0.179986,0.178392,-2.830405,0.317932,0.156647,-2.686281,0.214489,0.171249,-2.577507,,,,,,,,,,,,,,,,,,,,,
312,0.866667,0.004975,0.108908,0.027165,-0.993668,0.233165,0.168365,-2.694765,0.000000,0.220567,0.167423,-2.684689,0.923298,0.179898,0.178431,-2.830463,0.933121,0.317805,0.156416,-2.686343,0.970224,0.214390,0.171189,-2.577566,0.868440,0.220567,0.167423,-2.684689,0.179898,0.178431,-2.830463,0.317805,0.156416,-2.686343,0.214390,0.171189,-2.577566,,,,,,,,,,,,,,,,,,,,,
313,0.869444,0.005536,0.108890,0.027840,-0.993648,0.233298,0.168234,-2.694813,0.000000,0.220699,0.167321,-2.684735,0.923298,0.180039,0.178246,-2.830518,0.933121,0.317921,0.156169,-2.686384,0.970224,0.214534,0.171199,-2.577616,0.868440,0.220699,0.167321,-2.684735,0.180039,0.178246,-2.830518,0.317921,0.156169,-2.686384,0.214534,0.171199,-2.577616,,,,,,,,,,,,,,,,,,,,,
314,0.872222,0.005795,0.109294,0.027838,-0.993603,0.233185,0.168299,-2.694741,0.000000,0.220578,0.167391,-2.684672,0.923801,0.180034,0.178241,-2.830493,0.930005,0.317801,0.156234,-2.686238,0.965405,0.214327,0.171328,-2.577560,0.859213,0.220578,0.167391,-2.684672,0.180034,0.178241,-2.830493,0.317801,0.156234,-2.686238,0.214327,0.171328,-2.577560,,,,,,,,,,,,,,,,,,,,,
315,0.875000,0.006428,0.109290,0.027390,-0.993612,0.233287,0.168434,-2.694873,0.000000,0.220681,0.167530,-2.684803,0.915301,0.180122,0.178152,-2.830636,0.926959,0.317912,0.156444,-2.686358,0.977422,0.214433,0.171608,-2.577696,0.852407,0.220681,0.167530,-2.684803,0.180122,0.178152,-2.830636,0.317912,0.156444,-2.686358,0.214433,0.171608,-2.577696,,,,,,,,,,,,,,,,,,,,,
316,0.877778,0.004633,0.109295,0.026335,-0.993650,0.233310,0.168205,-2.694836,0.000000,0.220706,0.167237,-2.684770,0.915301,0.180132,0.178243,-2.830571,0.926959,0.317964,0.156398,-2.686353,0.977422,0.214438,0.170941,-2.577650,0.852407,0.220706,0.167237,-2.684770,0.180132,0.178243,-2.830571,0.317964,0.156398,-2.686353,0.214438,0.170941,-2.577650,,,,,,,,,,,,,,,,,,,,,
317,0.880556,0.005478,0.109796,0.026214,-0.993593,0.233231,0.168304,-2.694854,0.000000,0.220617,0.167353,-2.684798,0.805168,0.180183,0.178105,-2.830657,0.918533,0.317877,0.156517,-2.686269,0.874623,0.214246,0.171242,-2.577691,0.783063,0.220617,0.167353,-2.684798,0.180183,0.178105,-2.830657,0.317877,0.156517,-2.686269,0.214246,0.171242,-2.577691,,,,,,,,,,,,,,,,,,,,,
318,0.883333,0.006144,0.109946,0.026018,-0.993578,0.233156,0.168430,-2.694761,0.000000,0.220540,0.167489,-2.684707,0.805168,0.180142,0.178030,-2.830591,0.918533,0.317803,0.156675,-2.686138,0.874623,0.214140,0.171524,-2.577607,0.783063,0.220540,0.167489,-2.684707,0.180142,0.178030,-2.830591,0.317803,0.156675,-2.686138,0.214140,0.171524,-2.577607,,,,,,,,,,,,,,,,,,,,,
319,0.886111,0.005227,0.109443,0.026591,-0.993624,0.233089,0.168362,-2.694793,0.000000,0.220481,0.167413,-2.684729,0.822831,0.179954,0.178281,-2.830553,0.906651,0.317733,0.156511,-2.686274,0.931862,0.214187,0.171243,-2.577615,0.831383,0.220481,0.167413,-2.684729,0.179954,0.178281,-2.830553,0.317733,0.156511,-2.686274,0.214187,0.171243,-2.577615,,,,,,,,,,,,,,,,,,,,,
320,0.888889,0.005721,0.108669,0.028651,-0.993649,0.233105,0.168402,-2.694719,0.000000,0.220509,0.167512,-2.684635,0.827848,0.179802,0.178479,-2.830402,0.901363,0.317712,0.156199,-2.686325,0.915997,0.214397,0.171420,-2.577513,0.814336,0.220509,0.167512,-2.684635,0.179802,0.178479,-2.830402,0.317712,0.156199,-2.686325,0.214397,0.171420,-2.577513,,,,,,,,,,,,,,,,,,,,,
321,0.891667,0.006173,0.109008,0.027578,-0.993639,0.233170,0.168401,-2.694872,0.000000,0.220570,0.167496,-2.684795,0.827848,0.179934,0.178213,-2.830600,0.901363,0.317796,0.156380,-2.686410,0.915997,0.214381,0.171515,-2.577682,0.814336,0.220570,0.167496,-2.684795,0.179934,0.178213,-2.830600,0.317796,0.156380,-2.686410,0.214381,0.171515,-2.577682,,,,,,,,,,,,,,,,,,,,,
322,0.894444,0.005383,0.109156,0.026626,-0.993653,0.233274,0.168356,-2.694776,0.000000,0.220673,0.167412,-2.684704,0.918078,0.180061,0.178242,-2.830508,0.930243,0.317922,0.156499,-2.686303,0.971789,0.214442,0.171273,-2.577588,0.849568,0.220673,0.167412,-2.684704,0.180061,0.178242,-2.830508,0.317922,0.156499,-2.686303,0.214442,0.171273,-2.577588,,,,,,,,,,,,,,,,,,,,,
323,0.897222,0.004819,0.108856,0.026288,-0.993698,0.233186,0.168535,-2.694702,0.000000,0.220591,0.167570,-2.684624,0.918078,0.179886,0.178522,-2.830392,0.930243,0.317848,0.156735,-2.686290,0.971789,0.214419,0.171312,-2.577500,0.849568,0.220591,0.167570,-2.684624,0.179886,0.178522,-2.830392,0.317848,0.156735,-2.686290,0.214419,0.171312,-2.577500,,,,,,,,,,,,,,,,,,,,,
324,0.900000,0.004391,0.108026,0.026969,-0.993773,0.233269,0.168304,-2.694877,0.000000,0.220689,0.167344,-2.684780,0.818450,0.179760,0.178501,-2.830470,0.915536,0.317930,0.156389,-2.686617,0.918366,0.214697,0.170982,-2.577642,0.835213,0.220689,0.167344,-2.684780,0.179760,0.178501,-2.830470,0.317930,0.156389,-2.686617,0.214697,0.170982,-2.577642,,,,,,,,,,,,,,,,,,,,,
325,0.902778,0.005105,0.109099,0.026736,-0.993658,0.233189,0.168320,-2.694790,0.000000,0.220588,0.167371,-2.684718,0.812382,0.179964,0.178292,-2.830512,0.915593,0.317836,0.156444,-2.686332,0.907543,0.214368,0.171171,-2.577599,0.830729,0.220588,0.167371,-2.684718,0.179964,0.178292,-2.830512,0.317836,0.156444,-2.686332,0.214368,0.171171,-2.577599,,,,,,,,,,,,,,,,,,,,,
326,0.905556,0.004722,0.108955,0.026424,-0.993684,0.233281,0.168296,-2.694836,0.000000,0.220683,0.167332,-2.684761,0.812382,0.180011,0.178326,-2.830536,0.915593,0.317938,0.156474,-2.686410,0.907543,0.214490,0.171052,-2.577638,0.830729,0.220683,0.167332,-2.684761,0.180011,0.178326,-2.830536,0.317938,0.156474,-2.686410,0.214490,0.171052,-2.577638,,,,,,,,,,,,,,,,,,,,,
327,0.908333,0.006701,0.109178,0.027970,-0.993606,0.233206,0.168456,-2.694845,0.000000,0.220601,0.167573,-2.684772,0.813540,0.180021,0.178184,-2.830601,0.912336,0.317818,0.156368,-2.686345,0.911490,0.214382,0.171702,-2.577665,0.837575,0.220601,0.167573,-2.684772,0.180021,0.178184,-2.830601,0.317818,0.156368,-2.686345,0.214382,0.171702,-2.577665,,,,,,,,,,,,,,,,,,,,,
328,0.911111,0.004719,0.109143,0.026145,-0.993671,0.233212,0.168398,-2.694819,0.000000,0.220612,0.167428,-2.684748,0.816503,0.179988,0.178390,-2.830539,0.909014,0.317873,0.156624,-2.686360,0.912037,0.214376,0.171152,-2.577628,0.835028,0.220612,0.167428,-2.684748,0.179988,0.178390,-2.830539,0.317873,0.156624,-2.686360,0.214376,0.171152,-2.577628,,,,,,,,,,,,,,,,,,,,,
329,0.913889,0.006287,0.109259,0.027641,-0.993609,0.233249,0.168341,-2.694925,0.000000,0.220644,0.167441,-2.684854,0.816503,0.180082,0.178130,-2.830682,0.909014,0.317869,0.156310,-2.686418,0.912037,0.214402,0.171485,-2.577745,0.835028,0.220644,0.167441,-2.684854,0.180082,0.178130,-2.830682,0.317869,0.156310,-2.686418,0.214402,0.171485,-2.577746,,,,,,,,,,,,,,,,,,,,,
330,0.916667,0.007095,0.109609,0.027404,-0.993572,0.233266,0.168554,-2.694836,0.000000,0.220654,0.167667,-2.684772,0.916933,0.180184,0.178100,-2.830644,0.917018,0.317884,0.156562,-2.686254,0.946134,0.214341,0.171889,-2.577674,0.842070,0.220654,0.167667,-2.684772,0.180184,0.178100,-2.830644,0.317884,0.156562,-2.686254,0.214341,0.171889,-2.577674,,,,,,,,,,,,,,,,,,,,,
331,0.919444,0.005980,0.109311,0.027393,-0.993612,0.233195,0.168385,-2.694832,0.000000,0.220589,0.167471,-2.684763,0.916933,0.180038,0.178219,-2.830590,0.917018,0.317821,0.156396,-2.686322,0.946134,0.214333,0.171453,-2.577653,0.842070,0.220589,0.167471,-2.684763,0.180038,0.178219,-2.830590,0.317821,0.156396,-2.686322,0.214333,0.171453,-2.577653,,,,,,,,,,,,,,,,,,,,,
332,0.922222,0.004519,0.108584,0.027004,-0.993710,0.233256,0.168186,-2.694893,0.000000,0.220665,0.167231,-2.684809,0.829559,0.179900,0.178351,-2.830549,0.911453,0.317907,0.156266,-2.686535,0.928123,0.214554,0.170899,-2.577680,0.838610,0.220665,0.167231,-2.684809,0.179900,0.178351,-2.830549,0.317907,0.156266,-2.686535,0.214554,0.170899,-2.577680,,,,,,,,,,,,,,,,,,,,,
333,0.925000,0.005796,0.109037,0.026921,-0.993656,0.233199,0.168460,-2.694752,0.000000,0.220599,0.167531,-2.684676,0.925227,0.179958,0.178280,-2.830478,0.930640,0.317841,0.156551,-2.686291,0.970844,0.214398,0.171477,-2.577562,0.861428,0.220599,0.167531,-2.684676,0.179958,0.178280,-2.830478,0.317841,0.156551,-2.686291,0.214398,0.171477,-2.577562,,,,,,,,,,,,,,,,,,,,,
334,0.927778,0.005556,0.108920,0.027311,-0.993660,0.233153,0.168416,-2.694778,0.000000,0.220555,0.167491,-2.684700,0.925227,0.179890,0.178352,-2.830487,0.930640,0.317789,0.156441,-2.686343,0.970844,0.214380,0.171380,-2.577582,0.861428,0.220555,0.167491,-2.684700,0.179890,0.178352,-2.830487,0.317789,0.156441,-2.686343,0.214380,0.171380,-2.577582,,,,,,,,,,,,,,,,,,,,,
